bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
0,489.3,143.681,8,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
1,530.96,187.341,4,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
2,464.52,180.151,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
3,470.88,119.911,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
4,519.84,198.631,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
5,546.88,80.791,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
6,554.4,93.871,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
7,516.48,127.399,3,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
8,523.971,143.825,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
9,495.48,124.591,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
10,517.455,98.461,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
11,505.68,117.511,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
12,556.48,65.631,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
13,580.08,180.111,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
14,550.92,197.791,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
15,562.68,175.111,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
16,536.8,156.391,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
17,504.72,179.791,0,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
18,571.44,85.471,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
19,570.12,104.671,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
20,491.88,169.471,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
21,509.28,161.191,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
22,477.6,130.711,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
23,538.86,92.731,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
24,567.12,57.751,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
25,467.82,142.291,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
26,452.32,157.271,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
27,464.64,153.511,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
28,455.76,145.231,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
29,528.0,163.951,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0
30,460.68,124.711,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
31,580.92,223.951,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
32,573.36,216.871,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
33,568.8,232.471,1,junction,,,True,N,PQ,0.0,0.0,0.0,0.0,1.0
34,465.051,682.763,3,substation_or_sw,開閉所,(310702),False,,PQ,0.0,0.0,0.0,0.0,1.0
35,709.12,218.031,3,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
36,724.68,292.711,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
37,691.227,235.565,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
38,486.78,673.085,8,substation_or_sw,開閉所,(310702),False,,PQ,0.0,0.0,0.0,0.0,1.0
39,672.341,269.743,5,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
40,689.064,303.647,3,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0
41,531.84,601.615,3,junction,,(310120),False,,PQ,0.0,0.0,0.0,0.0,1.0
42,553.665,553.426,2,substation_or_sw,開閉所,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0
43,513.06,647.551,2,substation_or_sw,開閉所,(310707),False,,PQ,0.0,0.0,0.0,0.0,1.0
44,499.662,633.679,4,substation_or_sw,変電所,(310707),False,,PQ,4.0,1.9373,0.0,0.0,1.0
45,508.16,668.431,6,substation_or_sw,開閉所,(310706),False,,PQ,0.0,0.0,0.0,0.0,1.0
46,196.509,425.123,3,substation_or_sw,開閉所,(311011),False,,PQ,0.0,0.0,0.0,0.0,1.0
47,231.0,455.611,2,substation_or_sw,開閉所,階上,False,,PQ,0.0,0.0,0.0,0.0,1.0
48,101.82,567.151,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
49,250.68,525.391,2,substation_or_sw,開閉所,小中野,False,,PQ,0.0,0.0,0.0,0.0,1.0
50,601.853,805.725,5,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0
51,533.376,328.735,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
52,398.649,373.994,4,substation_or_sw,開閉所,(311014),False,,PQ,0.0,0.0,0.0,0.0,1.0
53,406.56,344.671,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
54,582.72,519.991,2,junction,,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0
55,615.456,501.943,3,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
56,563.16,541.111,2,junction,,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0
57,579.08,534.591,3,junction,,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0
58,389.486,337.643,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
59,467.64,465.991,3,substation_or_sw,開閉所,(311003),False,,PQ,0.0,0.0,0.0,0.0,1.0
60,424.66,547.391,2,substation_or_sw,開閉所,18１A,False,,PQ,0.0,0.0,0.0,0.0,1.0
