line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva
L0001,0,1,66,79.081,False,"[[480.6, 147.631], [486.36, 153.031], [496.32, 183.631], [498.264, 183.792], [500.208, 183.952], [502.152, 184.11], [504.096, 184.267], [506.04, 184.422], [507.984, 184.577], [509.928, 184.731], [511.872, 184.885], [513.816, 185.038], [515.76, 185.191], [517.704, 185.344], [519.648, 185.497], [521.592, 185.651], [523.536, 185.805], [525.48, 185.96], [527.424, 186.116], [529.368, 186.273], [531.312, 186.431], [533.256, 186.59], [535.2, 186.751]]",actual,13.4438,0.009259,0.118204,0.00160457,50.0
L0002,0,2,66,38.067,False,"[[464.52, 180.151], [464.64, 169.711], [480.24, 146.911]]",actual,6.4714,0.004457,0.0569,0.00077239,50.0
L0003,0,3,66,32.019,False,"[[481.56, 146.911], [470.52, 136.711], [469.44, 129.991], [470.88, 119.911]]",actual,5.4432,0.003749,0.047859,0.00064967,50.0
L0004,0,9,66,14.122,False,"[[498.48, 138.391], [495.48, 124.591]]",actual,2.4007,0.001653,0.021108,0.00028654,50.0
L0005,0,7,66,14.118,False,"[[509.4, 131.311], [496.92, 137.911]]",actual,2.4001,0.001653,0.021102,0.00028646,50.0
L0006,0,22,66,19.525,False,"[[490.08, 141.751], [486.6, 131.911], [486.149, 131.826], [485.697, 131.751], [485.243, 131.685], [484.788, 131.625], [484.333, 131.572], [483.877, 131.523], [483.421, 131.479], [482.965, 131.437], [482.51, 131.396], [482.055, 131.356], [481.601, 131.315], [481.148, 131.272], [480.697, 131.225], [480.247, 131.174], [479.799, 131.118], [479.354, 131.055], [478.911, 130.984], [478.471, 130.904], [478.034, 130.813], [477.6, 130.711]]",actual,3.3192,0.002286,0.029184,0.00039617,50.0
L0007,0,25,66,12.283,False,"[[467.52, 141.991], [479.4, 145.111]]",actual,2.0881,0.001438,0.01836,0.00024923,50.0
L0008,0,26,66,26.57,False,"[[454.2, 158.671], [478.2, 147.271]]",actual,4.5169,0.003111,0.039715,0.00053911,50.0
L0009,1,4,66,21.388,False,"[[533.88, 187.711], [529.44, 198.631], [519.84, 198.631]]",actual,3.636,0.002504,0.031969,0.00043397,50.0
L0010,1,14,66,22.395,False,"[[550.92, 197.791], [530.52, 188.551]]",actual,3.8072,0.002622,0.033474,0.0004544,50.0
L0011,1,16,66,31.96,False,"[[533.88, 188.071], [537.48, 179.911], [537.72, 156.871]]",actual,5.4332,0.003742,0.047771,0.00064848,50.0
L0012,5,6,66,13.967,False,"[[545.4, 83.191], [554.4, 93.871]]",actual,2.3744,0.001635,0.020877,0.00028339,50.0
L0013,5,12,66,17.542,False,"[[547.56, 79.711], [557.04, 64.951]]",actual,2.9821,0.002054,0.02622,0.00035593,50.0
L0014,5,23,66,16.175,False,"[[538.68, 92.911], [547.68, 79.471]]",actual,2.7498,0.001894,0.024177,0.00032819,50.0
L0015,7,8,66,20.696,False,"[[520.08, 125.431], [524.76, 145.591]]",actual,3.5183,0.002423,0.030935,0.00041993,50.0
L0016,7,10,66,26.631,False,"[[510.6, 100.831], [520.2, 125.671]]",actual,4.5273,0.003118,0.039806,0.00054035,50.0
L0017,8,11,66,34.609,False,"[[505.68, 117.511], [513.6, 135.991], [518.16, 139.231], [522.0, 147.271]]",actual,5.8835,0.004052,0.051731,0.00070223,50.0
L0018,8,16,66,14.079,False,"[[537.72, 156.871], [526.08, 148.951]]",actual,2.3934,0.001648,0.021044,0.00028567,50.0
L0019,10,23,66,11.819,False,"[[527.64, 95.671], [539.04, 92.551]]",actual,2.0092,0.001384,0.017666,0.00023981,50.0
L0020,12,13,66,123.65,False,"[[555.96, 66.391], [570.36, 84.991], [576.72, 89.551], [582.96, 104.911], [582.96, 115.951], [573.6, 135.631], [581.88, 150.991], [581.88, 176.431]]",actual,21.0205,0.014477,0.184822,0.00250889,50.0
L0021,12,24,66,13.225,False,"[[556.44, 65.551], [567.12, 57.751]]",actual,2.2483,0.001548,0.019768,0.00026834,50.0
L0022,13,15,66,16.431,False,"[[578.28, 180.271], [562.68, 175.111]]",actual,2.7933,0.001924,0.02456,0.00033339,50.0
L0023,13,31,66,68.671,False,"[[580.08, 183.631], [579.343, 183.577], [578.607, 183.523], [577.873, 183.469], [577.14, 183.415], [576.409, 183.361], [575.678, 183.307], [574.948, 183.253], [574.218, 183.199], [573.489, 183.145], [572.76, 183.091], [572.031, 183.037], [571.302, 182.983], [570.572, 182.929], [569.842, 182.875], [569.111, 182.821], [568.38, 182.767], [567.647, 182.713], [566.913, 182.659], [566.177, 182.605], [565.44, 182.551], [556.44, 200.551], [557.663, 201.69], [558.885, 202.839], [560.105, 203.997], [561.324, 205.162], [562.543, 206.334], [563.761, 207.511], [564.979, 208.692], [566.197, 209.877], [567.416, 211.063], [568.635, 212.251], [569.855, 213.439], [571.076, 214.626], [572.299, 215.81], [573.523, 216.992], [574.749, 218.169], [575.978, 219.34], [577.209, 220.505], [578.443, 221.663], [579.68, 222.812], [580.92, 223.951]]",actual,11.6741,0.00804,0.102644,0.00139335,50.0
L0024,14,15,66,25.548,False,"[[562.68, 175.111], [550.92, 197.791]]",actual,4.3432,0.002991,0.038187,0.00051838,50.0
L0025,16,29,66,11.001,False,"[[528.0, 163.951], [534.96, 155.431]]",actual,1.8702,0.001288,0.016443,0.00022321,50.0
L0026,18,19,66,20.459,False,"[[571.44, 85.471], [574.08, 96.991], [570.12, 104.671]]",actual,3.478,0.002395,0.03058,0.00041512,50.0
L0027,20,21,66,19.27,False,"[[491.88, 169.471], [509.28, 161.191]]",actual,3.2759,0.002256,0.028803,0.00039099,50.0
L0028,25,30,66,19.366,False,"[[460.68, 124.711], [468.12, 142.591]]",actual,3.2922,0.002267,0.028947,0.00039294,50.0
L0029,27,28,66,12.141,False,"[[464.64, 153.511], [455.76, 145.231]]",actual,2.064,0.001421,0.018147,0.00024634,50.0
L0030,32,33,66,16.253,False,"[[573.36, 216.871], [568.8, 232.471]]",actual,2.763,0.001903,0.024294,0.00032978,50.0
171C,34,38,66,83.4,False,"[[486.48, 672.751], [490.08, 689.791], [480.0, 713.791], [479.531, 713.774], [479.026, 713.759], [478.49, 713.744], [477.925, 713.732], [477.337, 713.72], [476.73, 713.709], [476.106, 713.699], [475.471, 713.689], [474.827, 713.68], [474.18, 713.671], [473.533, 713.662], [472.889, 713.653], [472.254, 713.643], [471.63, 713.633], [471.022, 713.622], [470.435, 713.611], [469.87, 713.598], [469.334, 713.584], [468.829, 713.568], [468.36, 713.551], [464.76, 685.471]]",actual,14.178,0.009764,0.12466,0.00169221,50.0
L0031,34,38,66,21.108,False,"[[486.48, 683.311], [468.0, 693.511]]",actual,3.5884,0.002471,0.031551,0.00042829,50.0
172D,34,156,66,31.328,False,"[[463.68, 695.671], [460.2, 696.991], [433.08, 702.151]]",actual,5.3258,0.003668,0.046827,0.00063565,50.0
L0032,35,36,66,83.212,False,"[[709.08, 218.071], [720.24, 232.591], [724.92, 236.671], [729.12, 247.591], [729.12, 254.551], [723.72, 267.511], [728.64, 276.511], [726.6, 292.111]]",actual,14.146,0.009742,0.124379,0.00168839,50.0
