bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
0,676.5,703.38,0,generator,発電所,(320807),False,
1,302.58,1024.471,4,substation_or_sw,開閉所,一関,False,
2,390.36,1018.831,4,substation_or_sw,1次変電所,東山,False,
3,121.26,745.14,2,substation_or_sw,開閉所,西通,False,
4,179.88,759.84,2,substation_or_sw,開閉所,盛岡中央,False,
5,158.88,718.98,2,substation_or_sw,開閉所,長田町,False,
6,208.92,751.68,3,substation_or_sw,開閉所,東盛岡,False,
7,160.44,761.16,1,substation_or_sw,開閉所,盛岡中央,False,
8,169.68,749.76,1,substation_or_sw,変電所,盛岡中央,False,
9,666.68,630.24,3,substation_or_sw,開閉所,千徳,False,
10,699.6,623.88,1,substation_or_sw,開閉所,東宮古,False,
11,667.774,853.62,4,substation_or_sw,開閉所,釜石,False,
12,666.84,666.48,1,junction,,津軽石,False,
13,687.96,666.48,1,substation_or_sw,開閉所,津軽石,False,
14,685.14,737.52,0,substation_or_sw,開閉所,山田,False,
15,690.96,721.56,1,generator,発電所,(320806),False,
16,680.16,721.56,1,junction,,山田,False,
17,88.12,663.92,3,substation_or_sw,開閉所,北盛岡,False,
18,95.7,785.58,2,substation_or_sw,開閉所,盛岡,False,
19,138.72,772.56,2,substation_or_sw,開閉所,仙北町,False,
20,138.24,786.84,1,junction,,仙北町,False,
21,413.505,592.26,2,generator,発電所,,False,
22,406.11,618.18,4,substation_or_sw,開閉所,都南,False,
23,121.8,678.96,1,junction,,青山,False,
24,121.44,710.04,1,substation_or_sw,開閉所,青山,False,
25,302.413,906.747,7,substation_or_sw,開閉所,金ヶ崎,False,
26,328.371,936.634,3,substation_or_sw,開閉所,日高,False,
27,583.968,975.793,5,substation_or_sw,開閉所,大船渡,False,
28,587.4,990.481,1,substation_or_sw,開閉所,下船渡,False,
29,369.48,635.19,0,substation_or_sw,変電所,盛岡,False,
30,644.7,844.86,2,junction,,大橋,False,
31,633.74,865.63,4,substation_or_sw,開閉所,大橋,False,
32,526.96,835.08,3,substation_or_sw,開閉所,遠野,False,
33,562.08,187.44,1,junction,,,True,N
34,592.608,251.664,5,junction,,種市,False,
35,607.92,245.82,2,substation_or_sw,開閉所,種市,False,
36,666.84,645.24,1,junction,,千徳,True,E
37,686.16,647.28,1,substation_or_sw,変電所,東宮古,False,
38,415.251,426.566,3,substation_or_sw,開閉所,葛巻(開),False,
39,396.72,458.76,2,substation_or_sw,開閉所,沼宮内,False,
40,309.6,480.18,4,substation_or_sw,1次変電所,柏台,False,
41,367.36,484.24,1,substation_or_sw,1次変電所,好摩,False,
42,266.683,486.051,6,generator,発電所,(320211),False,
43,235.08,499.68,1,generator,発電所,(320208),False,
44,438.9,547.56,2,generator,発電所,(320201),False,
45,481.02,541.2,2,substation_or_sw,変電所,(320201),False,
46,501.36,508.8,1,generator,発電所,(320203),False,
47,617.28,325.92,1,substation_or_sw,開閉所,久慈,False,
48,595.92,536.88,1,generator,発電所,(320812),False,
49,622.02,525.0,4,generator,発電所,岩泉,False,
50,635.08,638.92,3,substation_or_sw,開閉所,宮古,False,
51,591.12,906.72,2,junction,,(320905),False,
52,580.663,957.532,5,junction,,大船渡,False,
53,277.867,830.533,5,substation_or_sw,開閉所,(320401),False,
54,304.48,810.8,1,substation_or_sw,開閉所,飯豊,False,
55,298.11,932.13,2,generator,発電所,日高,False,
56,417.3,1050.691,4,substation_or_sw,開閉所,千厩,False,
57,423.24,1074.961,1,substation_or_sw,開閉所,藤沢,False,
58,397.44,1068.001,1,substation_or_sw,変電所,藤沢,False,
59,557.76,995.521,2,substation_or_sw,開閉所,岩手高田,False,
60,541.56,1037.161,1,junction,,岩手高田,True,S
61,444.48,263.4,1,junction,,二戸,False,
62,495.12,267.3,2,substation_or_sw,開閉所,軽米,False,
63,135.36,614.88,1,junction,,,False,
64,278.647,618.473,7,substation_or_sw,開閉所,岩手滝沢,False,
65,389.448,622.368,3,substation_or_sw,変電所,盛岡,False,
66,390.12,608.52,1,substation_or_sw,開閉所,盛岡,False,
67,381.06,603.6,2,substation_or_sw,開閉所,盛岡,False,
68,380.64,592.86,2,substation_or_sw,開閉所,北盛,False,
69,400.8,570.6,1,generator,発電所,(320202),False,
70,410.37,325.62,2,generator,発電所,(320102),False,
71,424.68,327.0,1,substation_or_sw,開閉所,(320102),False,
72,480.72,425.52,1,substation_or_sw,開閉所,葛巻,False,
73,351.96,519.96,2,substation_or_sw,開閉所,渋民,False,
74,350.96,581.84,3,substation_or_sw,開閉所,北盛,False,
75,353.928,638.448,5,substation_or_sw,開閉所,盛岡,False,
76,417.48,639.84,2,junction,,都南,False,
77,364.32,657.42,2,substation_or_sw,開閉所,都南,False,
78,333.78,771.36,2,substation_or_sw,開閉所,宮野目,False,
79,370.28,705.4,3,substation_or_sw,1次変電所,日詰,False,
80,459.24,203.16,1,junction,,,False,
81,421.2,286.62,2,substation_or_sw,開閉所,二戸,False,
82,437.58,366.6,2,substation_or_sw,開閉所,北岩手,False,
83,300.84,823.8,2,substation_or_sw,開閉所,飯豊,False,
84,319.704,837.48,4,substation_or_sw,1次変電所,柳原,False,
85,367.32,1062.241,1,substation_or_sw,変電所,(320701),False,
86,358.32,1074.241,2,substation_or_sw,開閉所,(320701),False,
87,330.56,1086.541,4,junction,,(320701),False,
88,346.84,1053.561,1,substation_or_sw,開閉所,山目,False,
89,327.96,1020.409,1,substation_or_sw,変電所,山目,False,
90,307.68,627.12,2,junction,,岩手滝沢,False,
91,325.656,1052.209,3,substation_or_sw,開閉所,山目,False,
92,333.42,1106.221,2,substation_or_sw,開閉所,花泉,False,
93,320.1,882.6,2,substation_or_sw,開閉所,相去,False,
94,269.52,557.64,2,junction,,(320307),False,
95,211.44,545.84,1,generator,発電所,(320305),False,
96,222.6,561.72,1,generator,発電所,(320305),False,
97,240.66,572.1,2,generator,発電所,(320302),False,
98,262.02,577.32,2,junction,,(320302),False,
99,275.76,636.48,1,generator,発電所,(320306),False,
100,633.24,307.08,1,substation_or_sw,変電所,(320803),False,
101,618.6,306.36,1,substation_or_sw,変電所,久慈,False,
102,648.36,439.08,1,junction,,普代,False,
103,669.48,439.08,1,substation_or_sw,開閉所,普代,False,
104,677.448,789.672,1,substation_or_sw,1次変電所,大槌,False,
105,537.12,935.76,2,substation_or_sw,開閉所,住田,False,
106,579.84,933.72,1,junction,,(320905),False,
107,605.7,948.06,2,substation_or_sw,開閉所,立根,False,
108,611.04,974.401,1,generator,発電所,(320903),False,
109,351.52,614.52,1,substation_or_sw,変電所,盛岡,False,
110,366.36,621.42,2,substation_or_sw,開閉所,盛岡,False,
111,362.64,671.88,2,substation_or_sw,開閉所,矢巾,False,
112,377.52,666.66,2,substation_or_sw,変電所,都南,False,
113,321.42,991.081,0,substation_or_sw,変電所,(320702),False,
114,326.76,970.801,1,substation_or_sw,開閉所,前沢,False,
115,338.88,985.921,1,substation_or_sw,変電所,平泉,False,
116,375.72,1024.921,1,substation_or_sw,1次変電所,東山,False,
117,400.08,1054.081,1,substation_or_sw,変電所,千厩,False,
118,338.52,997.801,1,substation_or_sw,開閉所,平泉,False,
119,315.72,784.56,0,substation_or_sw,開閉所,花巻,False,
120,338.84,732.32,2,substation_or_sw,変電所,(320301),False,
121,337.2,754.68,0,substation_or_sw,変電所,宮野目,False,
122,426.18,381.48,0,substation_or_sw,変電所,北岩手,False,
123,426.3,807.96,2,generator,発電所,(320403),False,
124,595.8,846.88,1,generator,発電所,(320901),False,
125,595.44,861.6,1,junction,,(320901),False,
126,286.88,909.4,3,generator,発電所,金ヶ崎,False,
127,381.58,919.54,2,substation_or_sw,開閉所,岩谷堂,False,
128,249.72,937.44,0,generator,発電所,(320607),False,
129,320.88,895.08,1,substation_or_sw,変電所,相去,False,
130,322.92,920.64,0,substation_or_sw,開閉所,日高,False,
131,353.28,935.22,0,substation_or_sw,開閉所,常盤,False,
132,326.1,854.46,0,substation_or_sw,開閉所,河原町,False,
133,233.04,938.4,2,substation_or_sw,変電所,(320607),False,
134,421.56,931.8,2,substation_or_sw,開閉所,伊手,False,
135,227.46,833.4,2,substation_or_sw,1次変電所,後藤野,False,
136,264.48,833.76,2,junction,,(320401),False,
137,300.96,841.98,0,substation_or_sw,変電所,飯豊,False,
138,241.065,820.53,2,substation_or_sw,1次変電所,後藤野,False,
139,229.08,815.04,1,substation_or_sw,1次変電所,後藤野,False,
140,601.02,651.0,2,junction,,(320814),False,
141,589.38,654.06,2,generator,発電所,(320814),False,
142,545.52,654.6,1,generator,発電所,(320815),False,
143,361.56,550.92,1,junction,,巣子,False,
144,397.08,543.96,0,generator,発電所,(320202),False,
145,349.56,726.84,1,junction,,日詰,False,
146,379.44,543.96,0,substation_or_sw,開閉所,巣子,False,
147,210.6,685.08,1,substation_or_sw,開閉所,松園,False,
148,228.9,717.6,2,generator,発電所,(320310),False,
149,180.84,646.56,1,generator,発電所,(320309),False,
150,223.08,680.88,1,junction,,松園,False,
151,154.2,692.76,2,substation_or_sw,開閉所,高松,False,
152,226.8,786.36,2,junction,,221D/,False,
153,80.64,728.88,1,substation_or_sw,変電所,221Ｎ,False,
154,93.12,728.88,1,junction,,青山,False,
155,643.8,377.76,1,generator,発電所,(320801),False,
156,630.48,380.04,1,junction,,(320801),False,
157,609.48,287.1,0,generator,発電所,(320802),False,
158,478.92,259.68,1,junction,,軽米,False,
159,477.84,248.52,1,generator,発電所,軽米,False,
160,414.6,359.16,1,generator,発電所,(320104),False,
161,426.12,356.52,1,junction,,北岩手,False,
162,287.76,597.84,1,generator,発電所,(320307),False,
163,323.52,711.12,1,generator,発電所,(320301),False,
164,580.02,921.36,0,generator,発電所,(320905),False,
165,564.0,930.3,0,substation_or_sw,変電所,(320905),False,
166,350.52,1094.641,1,generator,発電所,(320701),False,
167,342.48,1085.521,1,substation_or_sw,開閉所,(320701),False,
168,417.36,410.4,1,junction,,葛巻(開),False,
169,429.48,410.4,1,generator,発電所,(320101),False,
170,597.76,267.88,1,generator,発電所,(320804),False,
171,227.16,700.2,1,substation_or_sw,変電所,(320308),False,
172,216.48,702.96,1,generator,発電所,(320308),False,
173,562.32,657.24,1,junction,,(320816),False,
174,561.0,668.04,1,generator,発電所,(320816),False,
175,500.76,839.52,1,junction,,(320404),False,
176,499.08,853.2,1,generator,発電所,(320404),False,
177,298.26,964.621,0,generator,発電所,前沢,False,
178,285.78,1016.341,0,generator,発電所,一関,False,
179,307.44,1011.481,0,generator,発電所,(320702),False,
180,374.64,680.76,1,substation_or_sw,変電所,矢巾,False,
181,221.16,950.64,1,generator,発電所,(320606),False,
182,366.36,588.84,1,junction,,北盛,False,
183,366.6,602.52,1,substation_or_sw,開閉所,北盛,False,
184,447.24,958.081,1,generator,発電所,(320601),False,
185,423.96,970.321,1,generator,発電所,(320602),False,
186,431.04,944.76,1,junction,,伊手,True,S
187,608.16,260.04,1,generator,発電所,種市,False,
188,294.48,482.64,1,junction,,(320204),False,
189,294.48,494.28,1,generator,発電所,(320204),False,
190,563.4,264.72,1,generator,発電所,(320804),False,
191,592.32,224.76,1,generator,発電所,種市,False,
192,598.8,235.08,1,generator,発電所,種市,False,
193,126.6,775.08,1,substation_or_sw,変電所,仙北町,False,
194,526.32,296.4,1,generator,発電所,軽米,False,
195,351.12,672.6,1,substation_or_sw,開閉所,矢巾,False,
196,262.2,821.88,1,generator,発電所,(320401),False,
197,388.32,467.4,1,substation_or_sw,変電所,沼宮内,False,
198,397.8,470.88,1,substation_or_sw,変電所,沼宮内,False,
199,93.72,746.88,1,junction,,西通,False,
200,195.0,743.52,1,substation_or_sw,開閉所,東盛岡,False,
201,160.56,737.04,1,substation_or_sw,変電所,長田町,False,
202,171.24,728.4,1,substation_or_sw,開閉所,長田町,False,
203,280.8,889.68,1,substation_or_sw,変電所,金ヶ崎,False,
204,275.76,902.64,1,substation_or_sw,変電所,(320608),False,
205,605.4,358.08,1,substation_or_sw,変電所,久慈,False,
206,634.92,355.68,1,junction,,(320801),False,
207,101.04,648.96,1,substation_or_sw,開閉所,北盛岡,False,
208,178.2,786.6,1,substation_or_sw,開閉所,向中野,False,
209,183.96,798.0,1,substation_or_sw,開閉所,向中野,False,
210,396.42,643.44,0,substation_or_sw,開閉所,都南,False,
211,601.26,809.1,2,generator,発電所,(320808),False,
212,617.34,799.86,2,generator,発電所,(320810),False,
213,301.896,422.4,3,substation_or_sw,開閉所,竜ヶ森(配),False,
214,287.4,437.88,1,substation_or_sw,変電所,竜ヶ森(配),False,
215,302.28,441.12,1,substation_or_sw,開閉所,竜ヶ森(配),False,
216,308.28,375.12,1,substation_or_sw,開閉所,安代（配）,False,
217,252.24,469.92,1,substation_or_sw,変電所,(320205),False,
218,580.56,514.44,1,substation_or_sw,開閉所,本銅,False,
219,584.88,799.8,1,generator,発電所,(320817),False,
220,183.24,1016.401,1,generator,発電所,(320703),False,
221,253.56,488.16,1,generator,発電所,(320205),False,
222,375.72,725.16,2,junction,,日詰,False,
223,425.76,742.68,1,substation_or_sw,開閉所,大迫（配）,False,
224,102.48,828.48,1,substation_or_sw,開閉所,川尻,False,
225,161.16,829.92,1,substation_or_sw,開閉所,(31231),False,
226,682.68,523.68,1,substation_or_sw,開閉所,岩手中里,False,
227,430.96,308.94,2,substation_or_sw,開閉所,二戸,False,
228,492.84,330.84,1,substation_or_sw,開閉所,九戸（配）,False,
229,401.4,999.361,2,junction,,東山,False,
230,416.4,1003.921,1,substation_or_sw,開閉所,大東（配）,False,
231,117.48,832.74,0,substation_or_sw,開閉所,耳取,False,
232,185.52,876.36,1,generator,発電所,(320405),False,
