line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
271E,1,2,66,100.036,False,"[[301.68, 1024.081], [301.843, 1023.594], [302.007, 1023.106], [302.173, 1022.616], [302.34, 1022.124], [302.509, 1021.632], [302.678, 1021.139], [302.848, 1020.645], [303.018, 1020.151], [303.189, 1019.656], [303.36, 1019.161], [303.531, 1018.666], [303.702, 1018.171], [303.872, 1017.677], [304.042, 1017.183], [304.211, 1016.69], [304.38, 1016.197], [304.547, 1015.706], [304.713, 1015.216], [304.877, 1014.728], [305.04, 1014.241], [337.92, 1013.161], [380.88, 1010.281], [388.92, 1012.561], [389.011, 1012.812], [389.103, 1013.062], [389.198, 1013.31], [389.293, 1013.556], [389.391, 1013.802], [389.489, 1014.047], [389.589, 1014.291], [389.69, 1014.535], [389.792, 1014.778], [389.895, 1015.021], [389.999, 1015.264], [390.104, 1015.507], [390.209, 1015.751], [390.315, 1015.995], [390.422, 1016.24], [390.529, 1016.485], [390.636, 1016.732], [390.744, 1016.98], [390.852, 1017.23], [390.96, 1017.481]]",actual,22.0079,0.015157,0.193504,0.00262674,50.0,
261P,1,55,66,102.044,False,"[[301.68, 936.84], [301.68, 978.481], [298.32, 990.841], [298.32, 997.321], [287.76, 1020.121], [293.64, 1019.401], [302.28, 1024.561]]",actual,22.4497,0.015461,0.197388,0.00267947,50.0,
273B,1,91,66,44.037,False,"[[304.08, 1023.961], [304.08, 1035.601], [315.96, 1039.441], [315.24, 1045.921], [319.2, 1053.001], [324.48, 1053.001]]",actual,9.6881,0.006672,0.085183,0.00115632,50.0,
2711,1,220,33,126.416,False,"[[183.24, 1016.401], [189.84, 1015.201], [189.12, 1018.921], [193.08, 1018.921], [204.24, 1022.761], [208.2, 1020.841], [223.32, 1026.601], [243.12, 1027.801], [273.96, 1030.441], [302.28, 1025.281]]",actual,27.8115,0.144804,0.996005,0.0009086,20.0,
L0001,2,56,66,59.985,False,"[[391.2, 1018.801], [396.84, 1024.561], [398.64, 1030.321], [397.32, 1038.481], [406.92, 1042.201], [406.902, 1042.487], [406.884, 1042.77], [406.866, 1043.051], [406.848, 1043.329], [406.83, 1043.605], [406.812, 1043.88], [406.794, 1044.154], [406.776, 1044.428], [406.758, 1044.702], [406.74, 1044.976], [406.722, 1045.251], [406.704, 1045.527], [406.686, 1045.806], [406.668, 1046.086], [406.65, 1046.369], [406.632, 1046.655], [406.614, 1046.945], [406.596, 1047.239], [406.578, 1047.538], [406.56, 1047.841], [417.96, 1052.761], [417.925, 1052.308], [417.891, 1051.851], [417.859, 1051.39], [417.828, 1050.925], [417.799, 1050.457], [417.77, 1049.986], [417.742, 1049.515], [417.714, 1049.042], [417.687, 1048.569], [417.66, 1048.096], [417.633, 1047.624], [417.606, 1047.154], [417.578, 1046.685], [417.55, 1046.22], [417.521, 1045.758], [417.492, 1045.3], [417.461, 1044.847], [417.429, 1044.399], [417.395, 1043.956], [417.36, 1043.521]]",actual,13.1967,0.009089,0.116032,0.00157508,50.0,
272G,2,116,66,30.405,False,"[[390.96, 1020.001], [375.0, 1034.041], [375.72, 1024.921]]",actual,6.6891,0.004607,0.058814,0.00079837,50.0,
L0002,2,229,33,25.02,False,"[[401.4, 999.361], [396.12, 1011.841], [393.6, 1017.121], [388.32, 1019.041]]",actual,5.5044,0.028659,0.197127,0.00017983,20.0,
L0003,3,4,66,61.8,False,"[[121.44, 745.32], [167.76, 763.92], [179.16, 760.56]]",actual,13.596,0.009364,0.119542,0.00162274,50.0,
L0004,3,199,66,27.427,False,"[[93.72, 746.88], [121.08, 744.96]]",actual,6.0339,0.004156,0.053053,0.00072018,50.0,
221M,4,200,66,21.23,False,"[[180.6, 759.12], [195.0, 743.52]]",actual,4.6706,0.003217,0.041066,0.00055746,50.0,
L0005,5,6,66,57.648,False,"[[159.36, 721.32], [208.44, 751.56]]",actual,12.6826,0.008735,0.111511,0.00151372,50.0,
L0006,5,151,66,21.542,False,"[[153.6, 695.64], [158.4, 716.64]]",actual,4.7392,0.003264,0.04167,0.00056565,50.0,
231D,6,148,66,52.055,False,"[[228.72, 717.6], [231.12, 742.44], [227.4, 750.48], [209.16, 750.6]]",actual,11.4521,0.007887,0.100692,0.00136686,50.0,
221J,6,152,66,54.086,False,"[[209.16, 752.88], [228.0, 752.88], [232.68, 769.56], [226.44, 786.36]]",actual,11.8989,0.008195,0.104621,0.00142019,50.0,
L0007,7,8,66,14.674,False,"[[160.44, 761.16], [169.68, 749.76]]",actual,3.2283,0.002223,0.028385,0.00038531,50.0,
282B,9,10,66,34.658,False,"[[666.36, 630.24], [684.24, 623.04], [699.6, 623.88]]",actual,7.6248,0.005251,0.06704,0.00091005,50.0,
282M,9,11,66,225.876,False,"[[667.08, 631.44], [667.08, 668.52], [670.32, 676.32], [670.356, 677.617], [670.392, 678.915], [670.428, 680.215], [670.464, 681.516], [670.5, 682.819], [670.536, 684.122], [670.572, 685.426], [670.608, 686.73], [670.644, 688.035], [670.68, 689.34], [670.716, 690.645], [670.752, 691.95], [670.788, 693.254], [670.824, 694.558], [670.86, 695.861], [670.896, 697.164], [670.932, 698.465], [670.968, 699.765], [671.004, 701.063], [671.04, 702.36], [680.28, 721.2], [680.28, 775.8], [690.24, 795.36], [673.68, 805.8], [667.08, 842.4]]",actual,49.6927,0.034224,0.436922,0.00593104,50.0,
L0008,9,50,66,34.732,False,"[[637.2, 639.36], [648.6, 639.36], [655.92, 629.04], [666.6, 629.04]]",actual,7.641,0.005262,0.067184,0.00091199,50.0,
292F,11,30,66,19.953,False,"[[644.52, 845.04], [653.76, 841.92], [663.96, 841.92]]",actual,4.3897,0.003023,0.038596,0.00052393,50.0,
292H,11,31,66,34.515,False,"[[665.64, 844.44], [654.6, 844.44], [646.2, 846.96], [633.0, 853.44]]",actual,7.5933,0.00523,0.066764,0.00090629,50.0,
292C,11,27,66,160.205,False,"[[668.28, 864.84], [666.36, 869.64], [641.52, 894.36], [601.44, 900.6], [594.6, 910.2], [594.473, 910.614], [594.345, 911.028], [594.215, 911.442], [594.084, 911.856], [593.951, 912.27], [593.818, 912.684], [593.684, 913.098], [593.55, 913.512], [593.415, 913.926], [593.28, 914.34], [593.145, 914.754], [593.01, 915.168], [592.876, 915.582], [592.742, 915.996], [592.609, 916.41], [592.476, 916.824], [592.345, 917.238], [592.215, 917.652], [592.087, 918.066], [591.96, 918.48], [588.72, 924.24], [584.16, 937.08], [584.16, 955.561], [580.8, 964.561], [585.36, 974.161]]",actual,35.2451,0.024273,0.309891,0.00420666,50.0,
L0009,12,13,66,21.12,False,"[[666.84, 666.48], [687.96, 666.48]]",actual,4.6464,0.0032,0.040853,0.00055457,50.0,
282N,15,16,66,10.8,False,"[[690.96, 721.56], [680.16, 721.56]]",actual,2.376,0.001636,0.020891,0.00028359,50.0,
221B,17,18,66,120.1,False,"[[87.12, 666.72], [92.64, 678.36], [93.96, 751.08], [96.96, 760.08], [93.24, 784.8]]",actual,26.422,0.018197,0.232315,0.00315358,50.0,
L0010,17,151,66,83.604,False,"[[87.12, 662.64], [100.56, 669.48], [112.44, 666.48], [118.44, 677.76], [129.24, 680.52], [129.312, 680.377], [129.384, 680.235], [129.456, 680.095], [129.528, 679.956], [129.6, 679.819], [129.672, 679.682], [129.744, 679.546], [129.816, 679.41], [129.888, 679.275], [129.96, 679.14], [130.032, 679.005], [130.104, 678.87], [130.176, 678.734], [130.248, 678.598], [130.32, 678.461], [130.392, 678.324], [130.464, 678.185], [130.536, 678.045], [130.608, 677.903], [130.68, 677.76], [142.92, 677.76], [143.529, 678.263], [144.134, 678.799], [144.734, 679.364], [145.331, 679.954], [145.924, 680.565], [146.514, 681.194], [147.103, 681.838], [147.689, 682.493], [148.275, 683.155], [148.86, 683.82], [149.445, 684.485], [150.031, 685.147], [150.617, 685.802], [151.206, 686.446], [151.796, 687.075], [152.389, 687.686], [152.986, 688.276], [153.586, 688.841], [154.191, 689.377], [154.8, 689.88]]",actual,18.3929,0.012667,0.161719,0.00219527,50.0,
222B,17,207,66,26.01,False,"[[101.04, 648.96], [104.88, 659.16], [90.12, 662.4]]",actual,5.7222,0.003941,0.050312,0.00068297,50.0,
221H,18,152,66,129.0,False,"[[98.16, 786.36], [227.16, 786.36]]",actual,28.38,0.019545,0.24953,0.00338728,50.0,
231C,19,20,66,18.026,False,"[[139.2, 768.84], [138.24, 786.84]]",actual,3.9657,0.002731,0.034868,0.00047333,50.0,
231A,19,193,66,11.702,False,"[[138.24, 776.28], [126.6, 775.08]]",actual,2.5744,0.001773,0.022636,0.00030727,50.0,
L0011,21,22,66,26.762,False,"[[416.88, 603.84], [420.72, 614.88], [417.72, 618.72], [407.52, 618.72]]",actual,5.8876,0.004055,0.051767,0.00070272,50.0,
L0012,21,69,66,19.107,False,"[[400.8, 570.6], [413.76, 584.64]]",actual,4.2035,0.002895,0.036959,0.00050171,50.0,
L0013,22,67,66,31.079,False,"[[381.12, 603.12], [408.0, 618.72]]",actual,6.8374,0.004709,0.060117,0.00081607,50.0,
L0014,22,76,66,28.174,False,"[[408.84, 621.6], [418.2, 621.6], [420.12, 630.72], [417.48, 639.84]]",actual,6.1983,0.004269,0.054498,0.00073979,50.0,
