bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
0,277.89,519.83,2,substation_or_sw,1次変電所,土崎,False,
1,323.413,292.4,5,substation_or_sw,開閉所,能代,False,
2,342.0,289.2,1,generator,発電所,能代,False,
3,293.48,610.6,5,substation_or_sw,開閉所,牛島,False,
4,380.568,622.56,5,substation_or_sw,開閉所,(330506),False,
5,339.84,484.24,3,substation_or_sw,開閉所,秋田,False,
6,374.88,534.82,2,substation_or_sw,開閉所,添川,False,
7,272.784,729.84,3,substation_or_sw,1次変電所,本荘,False,
8,239.24,741.44,1,generator,発電所,(330604),False,
9,311.01,442.14,4,substation_or_sw,開閉所,大久保,False,
10,430.8,447.48,1,generator,発電所,(330305),False,
11,313.5,322.38,2,generator,発電所,(330308),False,
12,269.56,268.46,6,substation_or_sw,1次変電所,能代東,False,
13,463.62,630.6,2,substation_or_sw,開閉所,(330804),False,
14,579.33,601.41,4,generator,発電所,(330805),False,
15,548.84,726.36,3,substation_or_sw,開閉所,美入野,False,
16,480.96,758.88,2,substation_or_sw,開閉所,沼館,False,
17,532.56,692.1,2,substation_or_sw,開閉所,大曲,False,
18,543.84,768.0,2,substation_or_sw,開閉所,横手,False,
19,549.08,865.36,1,substation_or_sw,開閉所,湯沢,False,
20,538.32,893.52,3,substation_or_sw,1次変電所,横堀,False,
21,550.86,848.04,2,substation_or_sw,開閉所,湯沢,False,
22,357.8,799.48,3,generator,発電所,(330608),False,
23,242.7,799.32,2,generator,発電所,由利,False,
24,426.6,243.72,2,substation_or_sw,開閉所,鷹巣,False,
25,536.94,229.86,2,substation_or_sw,開閉所,釈迦内,False,
26,143.46,537.0,2,junction,,(330402),False,
27,135.96,509.04,1,substation_or_sw,変電所,(330408),False,
28,421.86,303.0,2,substation_or_sw,開閉所,米内沢,False,
29,357.66,564.54,2,substation_or_sw,開閉所,手形,False,
30,380.64,561.72,1,junction,,手形,True,unknown
31,318.64,396.64,3,substation_or_sw,開閉所,八郎潟,False,
32,282.08,248.36,3,substation_or_sw,開閉所,向能代,False,
33,378.06,248.1,2,substation_or_sw,開閉所,二ツ井,False,
34,223.08,773.4,1,substation_or_sw,開閉所,平沢,False,
35,498.16,840.32,3,substation_or_sw,開閉所,羽後,False,
36,417.0,605.16,1,junction,,(330506),False,
37,417.6,620.76,1,substation_or_sw,開閉所,御所野南河辺,False,
38,544.8,195.24,1,substation_or_sw,開閉所,釈迦内,False,
39,547.72,274.04,3,substation_or_sw,開閉所,大館,False,
40,536.4,728.16,1,substation_or_sw,開閉所,美入野,False,
41,451.56,170.4,1,generator,発電所,(330104),False,
42,462.96,211.44,1,junction,,岩瀬,False,
43,646.68,362.52,1,junction,,(330112),False,
44,671.64,371.16,1,generator,発電所,(330110),False,
45,476.88,392.4,1,junction,,小又川,False,
46,519.84,378.96,1,generator,発電所,(330108),False,
47,569.662,475.789,3,generator,発電所,(330802,False,
48,607.26,501.12,2,generator,発電所,(330807),False,
49,595.08,439.2,1,generator,発電所,(330803),False,
50,566.04,504.12,1,generator,発電所,(330809),False,
51,578.28,492.72,1,substation_or_sw,開閉所,鎧畑(開),False,
52,644.04,491.28,1,generator,発電所,(330808),False,
53,609.0,511.44,1,junction,,(330807),False,
54,622.2,893.64,1,generator,発電所,(330709),False,
55,607.68,904.32,1,substation_or_sw,開閉所,(330709),False,
56,654.24,239.6,3,substation_or_sw,1次変電所,毛馬内,False,
57,331.14,711.96,2,substation_or_sw,開閉所,岩谷,False,
58,256.32,267.48,1,substation_or_sw,1次変電所,能代東,False,
59,554.28,739.44,1,substation_or_sw,変電所,美入野,False,
60,235.32,772.48,3,generator,発電所,由利,False,
61,281.04,351.4,1,generator,発電所,(330302),False,
62,217.89,422.61,4,substation_or_sw,開閉所,船越,False,
63,258.12,827.22,2,generator,発電所,(330610),False,
64,174.36,890.04,1,junction,,(330612),False,
65,355.8,855.68,3,generator,発電所,(330617,False,
66,469.86,813.36,2,substation_or_sw,開閉所,西馬音内,False,
67,607.68,932.52,1,generator,発電所,(330707),False,
68,627.18,917.1,2,generator,発電所,(330706),False,
69,248.04,194.94,2,substation_or_sw,開閉所,八森,False,
70,440.28,219.24,1,substation_or_sw,変電所,鷹巣,False,
71,444.48,229.08,1,substation_or_sw,変電所,鷹巣,False,
72,330.24,504.12,1,substation_or_sw,開閉所,飯島,False,
73,362.7,505.56,2,junction,,秋田,False,
74,471.68,370.96,4,substation_or_sw,1次変電所,小又川,False,
75,416.76,226.92,1,junction,,鷹巣,False,
76,298.08,545.84,3,substation_or_sw,開閉所,八橋,False,
77,280.02,495.36,2,generator,発電所,飯島,False,
78,375.84,859.56,1,generator,発電所,(330619),False,
79,373.72,841.92,3,substation_or_sw,変電所,(330619),False,
80,359.4,836.28,1,junction,,(330617,True,S
81,361.32,188.16,1,generator,発電所,(330211),False,
82,353.64,242.64,1,junction,,能代,False,
83,521.664,266.76,1,substation_or_sw,変電所,大館,False,
84,544.68,252.48,1,junction,,大館,False,
85,657.6,188.76,1,generator,発電所,(330103),False,
86,298.8,354.84,1,junction,,(330301),False,
87,303.24,417.84,1,substation_or_sw,変電所,八郎潟,False,
88,319.08,417.84,1,junction,,八郎潟,True,unknown
89,212.4,396.48,1,substation_or_sw,変電所,(330311）,False,
