bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,lat,lon,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
0,277.89,519.83,2,substation_or_sw,1次変電所,土崎,False,,39.72449715123008,140.0716216960068,PQ,0.0,0.0,0.0,0.0,1.0
1,323.413,292.4,5,substation_or_sw,開閉所,能代,False,,40.124175005582046,140.15635677776294,PQ,0.0,0.0,0.0,0.0,1.0
2,342.0,289.2,1,generator,発電所,能代,False,,40.127189101799495,140.18842392993366,PQ,0.0,0.0,5.0,2.4216,1.0
3,293.48,610.6,5,substation_or_sw,開閉所,牛島,False,,39.56007236300285,140.0958811006089,PQ,0.0,0.0,0.0,0.0,1.0
4,380.568,622.56,5,substation_or_sw,開閉所,(330506),False,,39.5260432942525,140.24536874816044,PQ,0.0,0.0,0.0,0.0,1.0
5,339.84,484.24,3,substation_or_sw,開閉所,秋田,False,,39.7790699143967,140.17920404696346,PQ,0.0,0.0,0.0,0.0,1.0
6,374.88,534.82,2,substation_or_sw,開閉所,添川,False,,39.683615293057926,140.23805912148728,PQ,0.0,0.0,0.0,0.0,1.0
7,272.784,729.84,3,substation_or_sw,1次変電所,本荘,False,,39.350062854422156,140.05691111078943,PQ,0.0,0.0,0.0,0.0,1.0
8,239.24,741.44,1,generator,発電所,(330604),False,,39.334217200194736,139.99887507567834,PQ,0.0,0.0,5.0,2.4216,1.0
9,311.01,442.14,4,substation_or_sw,開閉所,大久保,False,,39.858472309437566,140.13079328412275,PQ,0.0,0.0,0.0,0.0,1.0
10,430.8,447.48,1,generator,発電所,(330305),False,,39.83151470003204,140.33672786920928,PQ,0.0,0.0,5.0,2.4216,1.0
11,313.5,322.38,2,generator,発電所,(330308),False,,40.07205799441577,140.13845656448137,PQ,0.0,0.0,5.0,2.4216,1.0
12,269.56,268.46,6,substation_or_sw,1次変電所,能代東,False,,40.174773517056074,140.0643842886817,PQ,0.0,0.0,0.0,0.0,1.0
