bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
0,398.469,637.269,3,substation_or_sw,変電所,利府,False,
1,311.66,700.02,4,substation_or_sw,開閉所,勾当台,False,
2,315.192,761.672,5,substation_or_sw,開閉所,土樋,False,
3,286.86,781.14,2,substation_or_sw,開閉所,八木山,False,
4,376.663,800.366,7,substation_or_sw,開閉所,南仙台,False,
5,589.68,819.12,2,substation_or_sw,開閉所,八木山,False,
6,699.624,842.04,5,substation_or_sw,開閉所,南仙台,False,
7,681.84,826.86,2,substation_or_sw,開閉所,あすと長町,False,
8,612.78,803.46,2,substation_or_sw,開閉所,土樋,False,
9,569.24,546.92,1,substation_or_sw,変電所,重吉,False,
10,590.904,540.024,1,substation_or_sw,開閉所,蛇田,False,
11,631.747,788.493,5,substation_or_sw,開閉所,五ツ橋,False,
12,619.056,716.856,5,substation_or_sw,開閉所,錦町,False,
13,593.19,708.96,4,substation_or_sw,開閉所,堤通,False,
14,268.68,725.04,3,generator,発電所,大町,False,
15,273.42,895.44,6,substation_or_sw,開閉所,沼辺,False,
16,229.32,931.08,2,substation_or_sw,変電所,（340315,False,
17,433.86,240.06,2,substation_or_sw,開閉所,金成,False,
18,464.76,253.2,1,substation_or_sw,変電所,4A1Ｗ,False,
19,307.68,592.86,2,substation_or_sw,開閉所,成田,False,
20,283.26,582.09,4,substation_or_sw,開閉所,大富,False,
21,430.92,302.88,2,substation_or_sw,開閉所,築館,False,
22,524.94,340.05,4,substation_or_sw,開閉所,佐沼,False,
23,585.54,562.2,2,substation_or_sw,開閉所,重吉,False,
24,596.76,568.56,1,generator,発電所,（341204）,False,
25,388.69,510.08,6,generator,発電所,（341107）,False,
26,349.35,535.86,2,generator,発電所,松の平,False,
27,344.85,514.71,6,substation_or_sw,変電所,（341103）（341102）,False,
28,486.6,569.832,1,generator,発電所,（341206）,False,
29,203.76,956.401,1,substation_or_sw,開閉所,白石,False,
30,258.88,957.961,3,substation_or_sw,開閉所,東白石,False,
31,309.0,955.681,1,junction,,（340204）,False,
32,332.64,966.141,2,generator,発電所,（340201）,False,
33,327.72,868.08,4,substation_or_sw,開閉所,仙南,False,
34,469.98,585.06,2,substation_or_sw,開閉所,松島,False,
35,423.4,657.92,3,substation_or_sw,開閉所,塩釜,False,
36,265.344,866.04,1,substation_or_sw,開閉所,村田,False,
37,202.2,828.6,1,generator,発電所,（340502）,False,
38,262.56,797.84,3,generator,発電所,（340506）,False,
39,383.76,455.58,2,substation_or_sw,開閉所,陸前大幡,False,
40,440.92,452.8,3,substation_or_sw,開閉所,小牛田,False,
41,402.3,456.96,2,junction,,陸前大幡,False,
42,295.72,629.68,6,substation_or_sw,開閉所,仙台,False,
43,703.92,198.06,2,substation_or_sw,開閉所,津谷,False,
44,622.56,266.52,2,junction,,米谷,False,
45,660.0,270.6,2,junction,,（341203）,False,
46,682.68,322.68,1,substation_or_sw,開閉所,志津川,False,
47,597.48,277.56,1,substation_or_sw,開閉所,米谷,False,
48,280.56,364.8,1,junction,,岩出山,False,
49,301.2,357.24,1,substation_or_sw,開閉所,岩出山,False,
50,478.56,285.72,1,substation_or_sw,開閉所,南二又,False,
51,476.64,299.16,1,junction,,南二又,False,
52,502.08,360.6,1,substation_or_sw,開閉所,南方,False,
53,537.96,367.92,1,junction,,佐沼,False,
54,573.24,368.4,1,substation_or_sw,開閉所,登米,False,
55,724.44,141.48,3,substation_or_sw,開閉所,（341305）,False,
56,746.52,138.54,2,substation_or_sw,開閉所,松岩,False,
