bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
0,398.469,637.269,3,substation_or_sw,変電所,利府,False,,PQ,4.0,1.9373,0.0,0.0,1.0
1,311.66,700.02,4,substation_or_sw,開閉所,勾当台,False,,PQ,0.0,0.0,0.0,0.0,1.0
2,315.192,761.672,5,substation_or_sw,開閉所,土樋,False,,PQ,0.0,0.0,0.0,0.0,1.0
3,286.86,781.14,2,substation_or_sw,開閉所,八木山,False,,PQ,0.0,0.0,0.0,0.0,1.0
4,376.663,800.366,7,substation_or_sw,開閉所,南仙台,False,,PQ,0.0,0.0,0.0,0.0,1.0
5,589.68,819.12,2,substation_or_sw,開閉所,八木山,False,,PQ,0.0,0.0,0.0,0.0,1.0
6,699.624,842.04,5,substation_or_sw,開閉所,南仙台,False,,PQ,0.0,0.0,0.0,0.0,1.0
7,681.84,826.86,2,substation_or_sw,開閉所,あすと長町,False,,PQ,0.0,0.0,0.0,0.0,1.0
8,612.78,803.46,2,substation_or_sw,開閉所,土樋,False,,PQ,0.0,0.0,0.0,0.0,1.0
9,569.24,546.92,1,substation_or_sw,変電所,重吉,False,,PQ,4.0,1.9373,0.0,0.0,1.0
10,590.904,540.024,1,substation_or_sw,開閉所,蛇田,False,,PQ,0.0,0.0,0.0,0.0,1.0
11,631.747,788.493,5,substation_or_sw,開閉所,五ツ橋,False,,PQ,0.0,0.0,0.0,0.0,1.0
12,619.056,716.856,5,substation_or_sw,開閉所,錦町,False,,PQ,0.0,0.0,0.0,0.0,1.0
13,593.19,708.96,4,substation_or_sw,開閉所,堤通,False,,PQ,0.0,0.0,0.0,0.0,1.0
14,268.68,725.04,3,generator,発電所,大町,False,,PQ,0.0,0.0,5.0,2.4216,1.0
15,273.42,895.44,6,substation_or_sw,開閉所,沼辺,False,,PQ,0.0,0.0,0.0,0.0,1.0
16,229.32,931.08,2,substation_or_sw,変電所,（340315,False,,PQ,4.0,1.9373,0.0,0.0,1.0
17,433.86,240.06,2,substation_or_sw,開閉所,金成,False,,PQ,0.0,0.0,0.0,0.0,1.0
18,464.76,253.2,1,substation_or_sw,変電所,4A1Ｗ,False,,PQ,4.0,1.9373,0.0,0.0,1.0
19,307.68,592.86,2,substation_or_sw,開閉所,成田,False,,PQ,0.0,0.0,0.0,0.0,1.0
20,283.26,582.09,4,substation_or_sw,開閉所,大富,False,,PQ,0.0,0.0,0.0,0.0,1.0
21,430.92,302.88,2,substation_or_sw,開閉所,築館,False,,PQ,0.0,0.0,0.0,0.0,1.0
22,524.94,340.05,4,substation_or_sw,開閉所,佐沼,False,,PQ,0.0,0.0,0.0,0.0,1.0
23,585.54,562.2,2,substation_or_sw,開閉所,重吉,False,,PQ,0.0,0.0,0.0,0.0,1.0
24,596.76,568.56,1,generator,発電所,（341204）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
25,388.69,510.08,6,generator,発電所,（341107）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
26,349.35,535.86,2,generator,発電所,松の平,False,,PQ,0.0,0.0,5.0,2.4216,1.0
27,344.85,514.71,6,substation_or_sw,変電所,（341103）（341102）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
28,486.6,569.832,1,generator,発電所,（341206）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
29,203.76,956.401,1,substation_or_sw,開閉所,白石,False,,PQ,0.0,0.0,0.0,0.0,1.0
30,258.88,957.961,3,substation_or_sw,開閉所,東白石,False,,PQ,0.0,0.0,0.0,0.0,1.0
31,309.0,955.681,1,junction,,（340204）,False,,PQ,0.0,0.0,0.0,0.0,1.0
32,332.64,966.141,2,generator,発電所,（340201）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
