line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
495C,0,42,66,115.217,False,"[[295.2, 627.48], [321.96, 627.36], [344.52, 625.08], [355.56, 619.44], [372.96, 615.96], [388.2, 615.96], [388.81, 616.301], [389.518, 616.675], [390.311, 617.078], [391.181, 617.506], [392.115, 617.955], [393.103, 618.422], [394.135, 618.904], [395.198, 619.397], [396.284, 619.897], [397.38, 620.4], [398.476, 620.903], [399.562, 621.403], [400.625, 621.896], [401.657, 622.378], [402.645, 622.845], [403.579, 623.294], [404.449, 623.722], [405.242, 624.125], [405.95, 624.499], [406.56, 624.84]]",actual,11.5217,0.007935,0.101304,0.00137517,50.0,
482B,0,139,66,89.277,False,"[[404.88, 627.84], [391.08, 621.36], [391.098, 622.493], [391.116, 623.625], [391.134, 624.755], [391.151, 625.884], [391.168, 627.011], [391.185, 628.138], [391.201, 629.264], [391.216, 630.39], [391.231, 631.515], [391.245, 632.64], [391.258, 633.765], [391.27, 634.89], [391.281, 636.016], [391.291, 637.142], [391.299, 638.269], [391.307, 639.396], [391.312, 640.525], [391.316, 641.655], [391.319, 642.787], [391.32, 643.92], [386.88, 647.28], [388.56, 661.32], [395.28, 676.8], [400.32, 683.76], [400.36, 684.066], [400.409, 684.372], [400.465, 684.678], [400.527, 684.984], [400.596, 685.29], [400.669, 685.596], [400.746, 685.902], [400.827, 686.208], [400.91, 686.514], [400.995, 686.82], [401.081, 687.126], [401.167, 687.432], [401.252, 687.738], [401.336, 688.044], [401.417, 688.35], [401.495, 688.656], [401.569, 688.962], [401.639, 689.268], [401.703, 689.574], [401.76, 689.88]]",actual,8.9277,0.006149,0.078497,0.00106556,50.0,
L0001,0,140,66,11.64,False,"[[379.08, 632.04], [390.72, 632.04]]",actual,1.164,0.000802,0.010234,0.00013893,50.0,
L0002,1,2,66,93.98,False,"[[312.96, 697.68], [294.24, 699.6], [288.48, 709.2], [289.44, 719.52], [299.28, 720.6], [313.44, 727.2], [313.631, 727.609], [313.843, 728.075], [314.072, 728.594], [314.316, 729.16], [314.572, 729.769], [314.838, 730.414], [315.109, 731.091], [315.383, 731.795], [315.658, 732.519], [315.93, 733.26], [316.197, 734.012], [316.455, 734.769], [316.703, 735.526], [316.936, 736.279], [317.152, 737.021], [317.349, 737.748], [317.523, 738.455], [317.671, 739.136], [317.791, 739.786], [317.88, 740.4], [317.871, 741.102], [317.846, 741.804], [317.807, 742.506], [317.754, 743.208], [317.691, 743.91], [317.618, 744.612], [317.537, 745.314], [317.45, 746.016], [317.359, 746.718], [317.265, 747.42], [317.17, 748.122], [317.076, 748.824], [316.985, 749.526], [316.898, 750.228], [316.817, 750.93], [316.743, 751.632], [316.679, 752.334], [316.626, 753.036], [316.586, 753.738], [316.56, 754.44]]",actual,9.398,0.006472,0.082632,0.00112169,50.0,
L0003,1,2,66,59.552,False,"[[313.92, 697.32], [312.48, 704.76], [312.722, 705.807], [313.048, 707.061], [313.447, 708.498], [313.911, 710.095], [314.432, 711.827], [315.0, 713.671], [315.606, 715.604], [316.241, 717.601], [316.897, 719.639], [317.565, 721.695], [318.235, 723.744], [318.9, 725.764], [319.549, 727.73], [320.174, 729.618], [320.766, 731.406], [321.316, 733.068], [321.815, 734.583], [322.255, 735.926], [322.626, 737.072], [322.92, 738.0], [320.28, 754.92]]",actual,5.9552,0.004101,0.052361,0.00071078,50.0,
L0004,1,235,66,35.124,False,"[[339.48, 707.52], [339.48, 700.32], [311.64, 698.16]]",actual,3.5124,0.002419,0.030883,0.00041922,50.0,
L0005,1,237,66,17.225,False,"[[315.72, 679.32], [313.2, 696.36]]",actual,1.7225,0.001186,0.015145,0.00020559,50.0,
L0006,2,4,66,81.526,False,"[[376.56, 799.92], [364.32, 785.52], [357.48, 778.56], [326.28, 777.0], [326.245, 776.82], [326.211, 776.64], [326.18, 776.46], [326.149, 776.28], [326.121, 776.1], [326.093, 775.92], [326.067, 775.74], [326.042, 775.56], [326.018, 775.38], [325.995, 775.2], [325.973, 775.02], [325.952, 774.84], [325.931, 774.66], [325.911, 774.48], [325.892, 774.3], [325.873, 774.12], [325.854, 773.94], [325.836, 773.76], [325.818, 773.58], [325.8, 773.4], [307.92, 771.36]]",actual,8.1526,0.005615,0.071681,0.00097305,50.0,
4705,2,232,66,96.153,False,"[[291.0, 694.08], [290.502, 694.668], [289.981, 695.279], [289.44, 695.91], [288.881, 696.559], [288.307, 697.223], [287.721, 697.899], [287.125, 698.585], [286.521, 699.279], [285.912, 699.978], [285.3, 700.68], [284.688, 701.382], [284.079, 702.081], [283.475, 702.775], [282.879, 703.461], [282.292, 704.138], [281.719, 704.801], [281.16, 705.45], [280.619, 706.081], [280.098, 706.692], [279.6, 707.28], [279.6, 708.81], [279.6, 710.406], [279.6, 712.061], [279.6, 713.768], [279.6, 715.519], [279.6, 717.307], [279.6, 719.124], [279.6, 720.964], [279.6, 722.818], [279.6, 724.68], [279.6, 726.542], [279.6, 728.396], [279.6, 730.236], [279.6, 732.053], [279.6, 733.841], [279.6, 735.592], [279.6, 737.299], [279.6, 738.954], [279.6, 740.55], [279.6, 742.08], [283.32, 749.04], [296.64, 754.56], [318.24, 754.8]]",actual,9.6153,0.006622,0.084542,0.00114763,50.0,
L0007,2,236,66,27.297,False,"[[343.92, 742.2], [318.6, 752.4]]",actual,2.7297,0.00188,0.024001,0.0003258,50.0,
