bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
0,226.8,907.68,2,generator,発電所,,False,
1,220.68,945.48,1,generator,発電所,,False,
2,643.2,638.8,3,substation_or_sw,開閉所,天童,False,
3,678.696,739.32,5,substation_or_sw,開閉所,東山形,False,
4,647.64,683.04,3,substation_or_sw,開閉所,宮町,False,
5,438.18,827.7,2,substation_or_sw,開閉所,長井,False,
6,485.19,891.42,4,substation_or_sw,開閉所,置賜,False,
7,460.44,866.52,1,junction,,置賜,False,
8,490.08,849.68,3,substation_or_sw,開閉所,宮内,False,
9,580.48,804.44,3,substation_or_sw,開閉所,上山,False,
10,502.28,968.061,4,substation_or_sw,開閉所,花沢,False,
11,497.84,1022.401,3,substation_or_sw,開閉所,米沢,False,
12,448.02,571.2,2,generator,発電所,(350201),False,
13,545.808,599.352,3,substation_or_sw,開閉所,陵西,False,
14,653.16,505.92,2,substation_or_sw,開閉所,楯岡,False,
15,642.72,535.08,1,junction,,東根,False,
16,619.368,726.288,3,substation_or_sw,開閉所,城南,False,
17,637.8,723.72,2,substation_or_sw,開閉所,本町通,False,
18,275.16,375.48,1,substation_or_sw,1次変電所,大山,False,
19,327.28,384.92,3,substation_or_sw,開閉所,鶴岡,False,
20,304.92,277.89,2,substation_or_sw,変電所,南酒田,False,
21,352.4,279.52,3,substation_or_sw,開閉所,酒田,False,
22,338.92,199.6,3,substation_or_sw,開閉所,酒田北港,False,
23,323.58,189.06,2,generator,発電所,酒田北港,False,
24,348.18,187.56,2,substation_or_sw,開閉所,(350705),False,
25,345.264,267.144,5,substation_or_sw,開閉所,酒田,False,
26,393.54,343.08,2,substation_or_sw,開閉所,藤島,False,
27,433.12,374.88,3,generator,発電所,(350910),False,
28,582.08,716.68,6,substation_or_sw,開閉所,山形,False,
29,577.12,603.12,3,substation_or_sw,1次変電所,寒河江,False,
30,506.32,691.68,3,substation_or_sw,開閉所,宮宿,False,
31,520.26,353.64,2,substation_or_sw,開閉所,戸沢,False,
32,574.8,347.16,1,substation_or_sw,開閉所,(350107),False,
33,583.5,531.12,2,substation_or_sw,開閉所,西村山,False,
34,415.32,690.72,1,generator,発電所,(350302),False,
