line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0001,0,1,66,40.117,False,"[[231.72, 908.52], [225.96, 920.88], [219.48, 931.44], [220.68, 945.48]]",actual
L0002,0,92,66,56.015,False,"[[227.04, 865.2], [223.8, 878.64], [232.08, 900.72], [232.8, 908.28], [221.88, 906.84]]",actual
544C,2,3,66,167.524,False,"[[644.64, 641.4], [659.28, 625.2], [668.76, 624.36], [690.48, 632.28], [698.88, 645.6], [696.6, 665.52], [697.08, 682.8], [678.72, 715.2], [681.48, 737.76]]",actual
L0003,2,68,66,46.761,False,"[[609.0, 620.64], [642.84, 631.68], [642.854, 632.238], [642.859, 632.796], [642.858, 633.354], [642.85, 633.912], [642.836, 634.47], [642.818, 635.028], [642.797, 635.586], [642.773, 636.144], [642.747, 636.702], [642.72, 637.26], [642.693, 637.818], [642.667, 638.376], [642.643, 638.934], [642.622, 639.492], [642.604, 640.05], [642.59, 640.608], [642.582, 641.166], [642.581, 641.724], [642.586, 642.282], [642.6, 642.84]]",actual
L0004,2,101,66,10.083,False,"[[648.6, 624.24], [642.36, 632.16]]",actual
541A,3,4,66,62.063,False,"[[651.0, 684.72], [671.64, 702.96], [676.32, 737.16]]",actual
536C,3,28,66,151.733,False,"[[582.36, 718.56], [585.96, 729.72], [585.967, 730.42], [585.952, 731.117], [585.919, 731.811], [585.87, 732.503], [585.806, 733.192], [585.731, 733.88], [585.646, 734.566], [585.555, 735.252], [585.459, 735.936], [585.36, 736.62], [585.261, 737.304], [585.165, 737.988], [585.074, 738.674], [584.989, 739.36], [584.914, 740.047], [584.85, 740.737], [584.801, 741.429], [584.768, 742.123], [584.753, 742.82], [584.76, 743.52], [591.84, 752.4], [595.56, 759.72], [606.84, 762.48], [614.88, 767.64], [629.64, 771.6], [658.32, 768.6], [677.52, 760.56], [677.485, 760.057], [677.451, 759.555], [677.42, 759.055], [677.389, 758.556], [677.361, 758.059], [677.333, 757.562], [677.307, 757.066], [677.282, 756.57], [677.258, 756.075], [677.235, 755.58], [677.213, 755.085], [677.192, 754.59], [677.171, 754.094], [677.151, 753.598], [677.132, 753.101], [677.113, 752.604], [677.094, 752.105], [677.076, 751.605], [677.058, 751.103], [677.04, 750.6], [678.96, 740.28]]",actual
L0005,3,17,66,44.058,False,"[[638.76, 723.24], [647.88, 728.28], [664.32, 731.52], [669.84, 737.76], [678.36, 738.48]]",actual
536D,3,106,66,28.153,False,"[[651.36, 740.4], [663.96, 740.04], [668.76, 743.52], [678.36, 742.92]]",actual
534D,4,107,66,20.054,False,"[[626.64, 683.16], [633.12, 675.24], [641.88, 679.68]]",actual
