bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
0,226.8,907.68,2,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0
1,220.68,945.48,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0
2,643.2,638.8,3,substation_or_sw,開閉所,天童,False,,PQ,0.0,0.0,0.0,0.0,1.0
3,678.696,739.32,5,substation_or_sw,開閉所,東山形,False,,PQ,0.0,0.0,0.0,0.0,1.0
4,647.64,683.04,3,substation_or_sw,開閉所,宮町,False,,PQ,0.0,0.0,0.0,0.0,1.0
5,438.18,827.7,2,substation_or_sw,開閉所,長井,False,,PQ,0.0,0.0,0.0,0.0,1.0
6,485.19,891.42,4,substation_or_sw,開閉所,置賜,False,,PQ,0.0,0.0,0.0,0.0,1.0
7,460.44,866.52,1,junction,,置賜,False,,PQ,0.0,0.0,0.0,0.0,1.0
8,490.08,849.68,3,substation_or_sw,開閉所,宮内,False,,PQ,0.0,0.0,0.0,0.0,1.0
9,580.48,804.44,3,substation_or_sw,開閉所,上山,False,,PQ,0.0,0.0,0.0,0.0,1.0
10,502.28,968.061,4,substation_or_sw,開閉所,花沢,False,,PQ,0.0,0.0,0.0,0.0,1.0
11,497.84,1022.401,3,substation_or_sw,開閉所,米沢,False,,PQ,0.0,0.0,0.0,0.0,1.0
12,448.02,571.2,2,generator,発電所,(350201),False,,PQ,0.0,0.0,5.0,2.4216,1.0
13,545.808,599.352,3,substation_or_sw,開閉所,陵西,False,,PQ,0.0,0.0,0.0,0.0,1.0
14,653.16,505.92,2,substation_or_sw,開閉所,楯岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
15,642.72,535.08,1,junction,,東根,False,,PQ,0.0,0.0,0.0,0.0,1.0
16,619.368,726.288,3,substation_or_sw,開閉所,城南,False,,PQ,0.0,0.0,0.0,0.0,1.0
17,637.8,723.72,2,substation_or_sw,開閉所,本町通,False,,PQ,0.0,0.0,0.0,0.0,1.0
18,275.16,375.48,1,substation_or_sw,1次変電所,大山,False,,PQ,0.0,0.0,0.0,0.0,1.0
19,327.28,384.92,3,substation_or_sw,開閉所,鶴岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
20,304.92,277.89,2,substation_or_sw,変電所,南酒田,False,,PQ,4.0,1.9373,0.0,0.0,1.0
21,352.4,279.52,3,substation_or_sw,開閉所,酒田,False,,PQ,0.0,0.0,0.0,0.0,1.0
