bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
0,710.28,432.751,1,generator,発電所,植田,False,
1,702.48,412.711,3,substation_or_sw,開閉所,植田,False,
2,386.64,512.791,1,substation_or_sw,開閉所,(360913),False,
3,383.01,487.231,4,substation_or_sw,開閉所,塙町,False,
4,216.86,402.991,0,substation_or_sw,開閉所,(361310),False,
5,199.735,435.893,5,substation_or_sw,開閉所,(361317),False,
6,232.74,364.711,4,substation_or_sw,開閉所,,False,
7,763.23,207.646,2,substation_or_sw,開閉所,,False,
8,425.633,450.409,4,substation_or_sw,変電所,(360915),False,
9,368.76,530.191,1,junction,,(360908),False,
10,614.488,532.855,10,generator,発電所,北小名浜,False,
11,590.22,476.731,4,substation_or_sw,開閉所,小名浜,False,
12,567.72,543.631,2,substation_or_sw,開閉所,白坂,False,
13,580.545,537.061,2,generator,発電所,白坂,False,
14,576.408,576.079,5,generator,発電所,白河,False,
15,725.76,119.271,1,generator,発電所,,False,
16,731.858,159.213,3,substation_or_sw,開閉所,,False,
17,727.76,302.671,1,generator,発電所,,False,
18,743.44,267.231,3,junction,,,False,
19,683.4,434.791,1,generator,発電所,泉町,False,
20,684.4,422.071,1,generator,発電所,(361318),False,
21,703.517,179.568,6,substation_or_sw,開閉所,,False,
22,735.8,205.551,3,substation_or_sw,開閉所,,False,
23,523.892,438.123,5,substation_or_sw,開閉所,,False,
24,471.06,463.651,2,substation_or_sw,開閉所,(360915),False,
25,597.81,871.651,2,substation_or_sw,開閉所,更科,False,
26,584.52,924.511,1,junction,,裏磐梯(配),False,
27,633.78,445.171,2,substation_or_sw,開閉所,(361314),False,
28,657.753,437.355,5,substation_or_sw,変電所,泉町,False,
29,270.81,105.421,2,substation_or_sw,開閉所,,False,
30,175.38,140.971,2,substation_or_sw,開閉所,,False,
31,275.4,116.071,1,substation_or_sw,開閉所,,False,
32,242.88,95.031,3,substation_or_sw,開閉所,,False,
33,147.392,378.044,5,substation_or_sw,開閉所,,False,
