bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,lat,lon,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
0,710.28,432.751,1,generator,発電所,植田,False,,37.37361387004208,139.88046859055322,PQ,0.0,0.0,5.0,2.4216,1.0
1,702.48,412.711,3,substation_or_sw,開閉所,植田,False,,37.389997256066934,139.89658858856484,PQ,0.0,0.0,0.0,0.0,1.0
2,386.64,512.791,1,substation_or_sw,開閉所,(360913),False,,37.1975270872419,140.50227382074047,PQ,0.0,0.0,0.0,0.0,1.0
3,383.01,487.231,4,substation_or_sw,開閉所,塙町,False,,37.22039384863737,140.5106137440774,PQ,0.0,0.0,0.0,0.0,1.0
4,216.86,402.991,0,substation_or_sw,開閉所,(361310),False,,37.24767059680355,140.8363046546212,PQ,0.0,0.0,0.0,0.0,1.0
5,199.735,435.893,5,substation_or_sw,開閉所,(361317),False,,37.21143728700275,140.86772701412892,PQ,0.0,0.0,0.0,0.0,1.0
6,232.74,364.711,4,substation_or_sw,開閉所,,False,,37.28856514898224,140.80756778274744,PQ,0.0,0.0,0.0,0.0,1.0
7,763.23,207.646,2,substation_or_sw,開閉所,,False,,37.601483920055784,139.7896796375587,PQ,0.0,0.0,0.0,0.0,1.0
8,425.633,450.409,4,substation_or_sw,変電所,(360915),False,,37.268259938242274,140.43007926165046,PQ,4.0,1.9373,0.0,0.0,1.0
9,368.76,530.191,1,junction,,(360908),False,,37.175613494345825,140.5359565465052,PQ,0.0,0.0,0.0,0.0,1.0
10,614.488,532.855,10,generator,発電所,北小名浜,False,,37.249748751450625,140.06056829915227,PQ,0.0,0.0,5.0,2.4216,1.0
11,590.22,476.731,4,substation_or_sw,開閉所,小名浜,False,,37.294876265633015,140.11040079135083,PQ,0.0,0.0,0.0,0.0,1.0
12,567.72,543.631,2,substation_or_sw,開閉所,白坂,False,,37.22504512388185,140.15046382727584,PQ,0.0,0.0,0.0,0.0,1.0
13,580.545,537.061,2,generator,発電所,白坂,False,,37.23521365092999,140.12599872932458,PQ,0.0,0.0,5.0,2.4216,1.0
14,576.408,576.079,5,generator,発電所,白河,False,,37.19728852787423,140.13198593513258,PQ,0.0,0.0,5.0,2.4216,1.0
15,725.76,119.271,1,generator,発電所,,False,,37.67277525633646,139.86671016441474,PQ,0.0,0.0,5.0,2.4216,1.0
16,731.858,159.213,3,substation_or_sw,開閉所,,False,,37.63717461445883,139.85285465399872,PQ,0.0,0.0,0.0,0.0,1.0
17,727.76,302.671,1,generator,発電所,,False,,37.501200546020875,139.8533756181348,PQ,0.0,0.0,5.0,2.4216,1.0
18,743.44,267.231,3,junction,,,False,,37.539366182036446,139.8248789661807,PQ,0.0,0.0,0.0,0.0,1.0
19,683.4,434.791,1,generator,発電所,泉町,False,,37.36331525333693,139.9323506121759,PQ,0.0,0.0,5.0,2.4216,1.0
20,684.4,422.071,1,generator,発電所,(361318),False,,37.37557022824844,139.9310731203506,PQ,0.0,0.0,5.0,2.4216,1.0
21,703.517,179.568,6,substation_or_sw,開閉所,,False,,37.60922397455642,139.9066169718523,PQ,0.0,0.0,0.0,0.0,1.0
22,735.8,205.551,3,substation_or_sw,開閉所,,False,,37.59489621803995,139.84283882149543,PQ,0.0,0.0,0.0,0.0,1.0
23,523.892,438.123,5,substation_or_sw,開閉所,,False,,37.31044012179295,140.2406754003057,PQ,0.0,0.0,0.0,0.0,1.0
24,471.06,463.651,2,substation_or_sw,開閉所,(360915),False,,37.26999429033097,140.34153757535628,PQ,0.0,0.0,0.0,0.0,1.0
25,597.81,871.651,2,substation_or_sw,開閉所,更科,False,,36.92644396594072,140.07533699962968,PQ,0.0,0.0,0.0,0.0,1.0
26,584.52,924.511,1,junction,,裏磐梯(配),False,,36.872667675357484,140.09831211003345,PQ,0.0,0.0,0.0,0.0,1.0
27,633.78,445.171,2,substation_or_sw,開閉所,(361314),False,,37.33809397025728,140.02778249681919,PQ,0.0,0.0,0.0,0.0,1.0
28,657.753,437.355,5,substation_or_sw,変電所,泉町,False,,37.35290918354383,139.98182090064728,PQ,4.0,1.9373,0.0,0.0,1.0
29,270.81,105.421,2,substation_or_sw,開閉所,,False,,37.543891570876355,140.74732202980368,PQ,0.0,0.0,0.0,0.0,1.0
