line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0001,0,1,66,24.759,False,"[[710.28, 432.751], [710.28, 414.751], [710.032, 414.827], [709.758, 414.909], [709.462, 414.996], [709.145, 415.089], [708.812, 415.186], [708.464, 415.287], [708.106, 415.39], [707.74, 415.496], [707.368, 415.603], [706.995, 415.711], [706.622, 415.819], [706.254, 415.926], [705.892, 416.032], [705.54, 416.136], [705.201, 416.236], [704.877, 416.333], [704.572, 416.426], [704.289, 416.514], [704.031, 416.596], [703.8, 416.671]]",actual,3.4663,0.002387,0.030477,0.00041371,50.0,
L0002,1,28,66,44.676,False,"[[667.32, 427.951], [700.44, 420.391], [701.16, 409.711]]",actual,6.2546,0.004308,0.054994,0.00074652,50.0,
L0003,1,77,66,71.856,False,"[[702.48, 411.751], [705.24, 420.271], [767.64, 412.351]]",actual,10.0598,0.006928,0.088451,0.00120069,50.0,
L0004,2,3,66,43.006,False,"[[386.64, 512.791], [387.198, 512.54], [387.756, 512.291], [388.314, 512.043], [388.872, 511.797], [389.43, 511.552], [389.988, 511.308], [390.546, 511.066], [391.104, 510.825], [391.662, 510.585], [392.22, 510.346], [392.778, 510.108], [393.336, 509.871], [393.894, 509.634], [394.452, 509.398], [395.01, 509.163], [395.568, 508.928], [396.126, 508.694], [396.684, 508.459], [397.242, 508.225], [397.8, 507.991], [397.92, 492.871], [397.577, 492.853], [397.233, 492.835], [396.887, 492.817], [396.54, 492.799], [396.191, 492.781], [395.842, 492.763], [395.492, 492.745], [395.142, 492.727], [394.791, 492.709], [394.44, 492.691], [394.089, 492.673], [393.738, 492.655], [393.388, 492.637], [393.038, 492.619], [392.689, 492.601], [392.34, 492.583], [391.993, 492.565], [391.647, 492.547], [391.303, 492.529], [390.96, 492.511], [383.4, 488.071]]",actual,6.0208,0.004147,0.052938,0.00071861,50.0,
L0005,3,96,66,37.5,False,"[[418.32, 484.831], [414.72, 487.711], [408.6, 483.151], [405.72, 485.311], [405.571, 485.273], [405.242, 485.264], [404.745, 485.281], [404.096, 485.322], [403.307, 485.382], [402.393, 485.46], [401.366, 485.552], [400.242, 485.655], [399.034, 485.766], [397.755, 485.881], [396.419, 485.999], [395.041, 486.115], [393.633, 486.226], [392.21, 486.331], [390.786, 486.425], [389.373, 486.505], [387.987, 486.569], [386.64, 486.614], [385.346, 486.635], [384.12, 486.631]]",actual,5.25,0.003616,0.04616,0.00062661,50.0,
L0006,3,73,66,55.718,False,"[[382.32, 486.271], [367.08, 478.231], [375.36, 453.511], [383.52, 444.151]]",actual,7.8005,0.005372,0.068586,0.00093103,50.0,
L0007,3,159,66,11.792,False,"[[382.2, 487.951], [370.68, 490.471]]",actual,1.6509,0.001137,0.014515,0.00019704,50.0,
L0008,5,6,66,80.745,False,"[[200.28, 431.551], [205.8, 423.271], [209.52, 403.711], [225.24, 400.471], [225.567, 398.928], [225.898, 397.359], [226.235, 395.766], [226.576, 394.151], [226.922, 392.514], [227.271, 390.857], [227.625, 389.182], [227.982, 387.49], [228.342, 385.783], [228.705, 384.061], [229.071, 382.327], [229.439, 380.582], [229.809, 378.827], [230.182, 377.064], [230.556, 375.294], [230.931, 373.518], [231.307, 371.739], [231.684, 369.957], [232.062, 368.174], [232.44, 366.391]]",actual,11.3043,0.007785,0.099393,0.00134922,50.0,
L0009,5,33,66,77.332,False,"[[200.28, 429.631], [191.4, 421.231], [181.08, 416.191], [167.4, 416.311], [156.0, 413.191], [147.72, 408.751], [140.16, 398.791], [143.64, 393.631]]",actual,10.8265,0.007456,0.095192,0.00129219,50.0,
L0010,5,52,66,42.324,False,"[[197.64, 431.311], [181.68, 452.191], [188.64, 459.631], [192.84, 455.551]]",actual,5.9254,0.004081,0.052099,0.00070722,50.0,
