bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
0,544.316,554.675,7,generator,発電所,豊栄,False,
1,679.188,945.372,4,generator,発電所,(370305),False,
2,680.445,974.596,2,substation_or_sw,開閉所,笹山(開),False,
3,653.28,938.88,1,generator,発電所,(370304),False,
4,727.063,826.423,7,substation_or_sw,開閉所,亀塚浜,False,
5,722.664,842.328,3,substation_or_sw,変電所,(370201),False,
6,457.092,666.132,4,substation_or_sw,開閉所,南新潟,False,
7,473.007,605.207,2,generator,発電所,(370901),False,
8,513.88,627.152,5,substation_or_sw,開閉所,小須戸,False,
9,465.78,783.78,2,substation_or_sw,開閉所,北長岡,False,
10,471.627,750.213,5,substation_or_sw,開閉所,見附,False,
11,370.05,1006.291,2,generator,発電所,大割野,False,
12,406.5,1010.821,2,substation_or_sw,変電所,石打,False,
13,414.096,951.66,4,substation_or_sw,変電所,南十日町,False,
14,431.709,857.76,5,substation_or_sw,変電所,小千谷,False,
15,466.92,885.06,2,substation_or_sw,開閉所,堀之内,False,
16,441.06,826.245,4,substation_or_sw,開閉所,来迎寺,False,
17,424.89,817.65,4,substation_or_sw,開閉所,来迎寺,False,
18,426.6,1087.321,1,generator,発電所,浅貝,False,
19,430.172,1039.044,3,generator,発電所,越後湯沢,False,
20,150.36,803.451,3,substation_or_sw,開閉所,南川,False,
21,218.28,855.96,1,junction,,(371701),False,
22,114.6,788.28,1,substation_or_sw,変電所,東直江津,False,
23,134.184,860.244,10,substation_or_sw,開閉所,上越,False,
24,631.56,506.4,1,junction,,中条,True,unknown
25,612.12,483.96,1,generator,発電所,(370301),False,
26,657.18,669.6,2,substation_or_sw,開閉所,津川,False,
27,717.48,628.56,1,generator,発電所,(370505),False,
28,667.56,611.28,1,generator,発電所,(370314),False,
29,652.64,449.52,3,substation_or_sw,開閉所,荒川,False,
30,672.34,515.86,2,generator,発電所,(370307),False,
31,654.12,431.76,0,substation_or_sw,変電所,荒川,False,
32,660.274,400.731,3,substation_or_sw,1次変電所,村上,False,
33,716.58,391.8,2,generator,発電所,(370107),False,
34,679.38,459.24,2,substation_or_sw,開閉所,坂町,False,
35,756.72,479.94,2,substation_or_sw,開閉所,小国,False,
