line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
7308,0,28,66,78.092,False,"[[612.72, 564.0], [619.08, 581.04], [626.16, 592.2], [643.32, 602.76], [657.96, 611.28], [667.56, 611.28]]",actual
731D,0,29,66,108.17,False,"[[652.8, 449.64], [649.8, 459.96], [647.28, 476.64], [639.12, 492.24], [631.68, 506.16], [626.76, 518.76], [623.64, 536.64], [615.36, 538.68], [608.4, 538.68]]",actual
761B,0,37,66,38.346,False,"[[547.92, 612.96], [533.52, 608.4], [529.92, 602.28], [529.44, 594.96], [532.08, 586.56]]",actual
796D,0,7,66,16.991,False,"[[480.96, 612.0], [485.64, 608.88], [489.96, 605.28], [492.48, 600.12]]",actual
L0001,0,54,66,48.667,False,"[[615.48, 530.28], [621.36, 528.72], [623.16, 508.2], [623.347, 507.892], [623.647, 507.381], [624.048, 506.687], [624.538, 505.836], [625.102, 504.848], [625.73, 503.746], [626.409, 502.554], [627.125, 501.294], [627.866, 499.988], [628.62, 498.66], [629.374, 497.332], [630.115, 496.026], [630.831, 494.766], [631.51, 493.574], [632.137, 492.472], [632.702, 491.484], [633.192, 490.633], [633.593, 489.939], [633.893, 489.428], [634.08, 489.12]]",actual
742F,0,106,66,37.763,False,"[[575.64, 553.44], [560.88, 561.24], [541.08, 554.04]]",actual
L0002,0,106,66,22.728,False,"[[562.56, 540.6], [567.84, 537.48], [574.68, 552.6]]",actual
L0003,1,2,66,43.857,False,"[[685.56, 942.24], [669.24, 950.28], [669.477, 950.806], [669.787, 951.443], [670.164, 952.184], [670.603, 953.019], [671.098, 953.942], [671.643, 954.945], [672.232, 956.02], [672.859, 957.158], [673.519, 958.353], [674.205, 959.596], [674.912, 960.879], [675.634, 962.195], [676.364, 963.536], [677.098, 964.894], [677.829, 966.262], [678.552, 967.63], [679.26, 968.992], [679.948, 970.34], [680.61, 971.665], [681.24, 972.961]]",actual
732H,1,3,66,19.446,False,"[[653.28, 938.88], [669.12, 950.16]]",actual
732I,1,154,66,11.593,False,"[[685.8, 943.2], [696.24, 938.16]]",actual
L0004,1,192,66,10.201,False,"[[664.56, 959.881], [674.76, 959.761]]",actual
732A,2,151,66,54.871,False,"[[681.12, 973.321], [690.72, 971.161], [701.52, 969.841], [703.68, 960.601], [713.64, 956.401], [723.96, 947.16]]",actual
L0005,4,5,66,27.289,False,"[[727.8, 826.68], [718.68, 839.04], [718.68, 845.04], [723.48, 848.52]]",actual
L0006,4,5,66,11.66,False,"[[714.0, 830.88], [724.68, 826.2]]",actual
724A,4,162,66,21.282,False,"[[729.72, 827.28], [733.8, 830.88], [749.64, 830.76]]",actual
722B,4,163,66,35.5,False,"[[725.16, 827.4], [712.44, 837.36], [712.44, 838.081], [712.44, 838.803], [712.44, 839.528], [712.44, 840.253], [712.44, 840.981], [712.44, 841.709], [712.44, 842.439], [712.44, 843.17], [712.44, 843.902], [712.44, 844.635], [712.44, 845.369], [712.44, 846.104], [712.44, 846.839], [712.44, 847.575], [712.44, 848.312], [712.44, 849.049], [712.44, 849.786], [712.44, 850.524], [712.44, 851.262], [712.44, 852.0], [712.42, 852.227], [712.363, 852.441], [712.272, 852.643], [712.153, 852.835], [712.009, 853.018], [711.844, 853.193], [711.662, 853.362], [711.468, 853.526], [711.266, 853.687], [711.06, 853.845], [710.854, 854.002], [710.652, 854.16], [710.458, 854.32], [710.276, 854.482], [710.111, 854.649], [709.967, 854.822], [709.848, 855.003], [709.757, 855.191], [709.7, 855.39], [709.68, 855.6]]",actual
