bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,lat,lon,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
0,544.316,554.675,7,generator,発電所,豊栄,False,,37.89054573399061,139.19968616178326,PQ,0.0,0.0,5.0,2.4216,1.0
1,679.188,945.372,4,generator,発電所,(370305),False,,37.363536438394185,139.34861899977892,PQ,0.0,0.0,5.0,2.4216,1.0
2,680.445,974.596,2,substation_or_sw,開閉所,笹山(開),False,,37.31873044720617,139.3395466378562,PQ,0.0,0.0,0.0,0.0,1.0
3,653.28,938.88,1,generator,発電所,(370304),False,,37.35786003639376,139.29197752330433,PQ,0.0,0.0,5.0,2.4216,1.0
4,727.063,826.423,7,substation_or_sw,開閉所,亀塚浜,False,,37.57822516737354,139.50682764396421,PQ,0.0,0.0,0.0,0.0,1.0
5,722.664,842.328,3,substation_or_sw,変電所,(370201),False,,37.55073978125714,139.49025627209042,PQ,4.0,1.9373,0.0,0.0,1.0
6,457.092,666.132,4,substation_or_sw,開閉所,南新潟,False,,37.6635429372699,138.95448234281648,PQ,0.0,0.0,0.0,0.0,1.0
7,473.007,605.207,2,generator,発電所,(370901),False,,37.768256666668925,139.0158185579416,PQ,0.0,0.0,5.0,2.4216,1.0
8,513.88,627.152,5,substation_or_sw,開閉所,小須戸,False,,37.758961814099465,139.1003921065675,PQ,0.0,0.0,0.0,0.0,1.0
9,465.78,783.78,2,substation_or_sw,開閉所,北長岡,False,,37.48537836319883,138.92626210067377,PQ,0.0,0.0,0.0,0.0,1.0
10,471.627,750.213,5,substation_or_sw,開閉所,見附,False,,37.541289353657575,138.9533692660461,PQ,0.0,0.0,0.0,0.0,1.0
11,370.05,1006.291,2,generator,発電所,大割野,False,,37.08000794606868,138.61618210964124,PQ,0.0,0.0,5.0,2.4216,1.0
12,406.5,1010.821,2,substation_or_sw,変電所,石打,False,,37.09517304947414,138.6977534262708,PQ,4.0,1.9373,0.0,0.0,1.0
13,414.096,951.66,4,substation_or_sw,変電所,南十日町,False,,37.192062555513,138.73932856835256,PQ,4.0,1.9373,0.0,0.0,1.0
14,431.709,857.76,5,substation_or_sw,変電所,小千谷,False,,37.34923379989735,138.81803402063983,PQ,4.0,1.9373,0.0,0.0,1.0
