line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
7308,0,28,66,78.092,False,"[[612.72, 564.0], [619.08, 581.04], [626.16, 592.2], [643.32, 602.76], [657.96, 611.28], [667.56, 611.28]]",actual,17.9612,0.01237,0.157923,0.00214374,50.0,
731D,0,29,66,108.17,False,"[[652.8, 449.64], [649.8, 459.96], [647.28, 476.64], [639.12, 492.24], [631.68, 506.16], [626.76, 518.76], [623.64, 536.64], [615.36, 538.68], [608.4, 538.68]]",actual,24.8791,0.017134,0.218749,0.00296943,50.0,
761B,0,37,66,38.346,False,"[[547.92, 612.96], [533.52, 608.4], [529.92, 602.28], [529.44, 594.96], [532.08, 586.56]]",actual,8.8196,0.006074,0.077546,0.00105266,50.0,
796D,0,7,66,16.991,False,"[[480.96, 612.0], [485.64, 608.88], [489.96, 605.28], [492.48, 600.12]]",actual,3.9079,0.002691,0.03436,0.00046643,50.0,
L0001,0,54,66,48.667,False,"[[615.48, 530.28], [621.36, 528.72], [623.16, 508.2], [623.347, 507.892], [623.647, 507.381], [624.048, 506.687], [624.538, 505.836], [625.102, 504.848], [625.73, 503.746], [626.409, 502.554], [627.125, 501.294], [627.866, 499.988], [628.62, 498.66], [629.374, 497.332], [630.115, 496.026], [630.831, 494.766], [631.51, 493.574], [632.137, 492.472], [632.702, 491.484], [633.192, 490.633], [633.593, 489.939], [633.893, 489.428], [634.08, 489.12]]",actual,11.1934,0.007709,0.098418,0.00133598,50.0,
742F,0,106,66,37.763,False,"[[575.64, 553.44], [560.88, 561.24], [541.08, 554.04]]",actual,8.6855,0.005982,0.076367,0.00103665,50.0,
L0002,0,106,66,22.728,False,"[[562.56, 540.6], [567.84, 537.48], [574.68, 552.6]]",actual,5.2274,0.0036,0.045962,0.00062392,50.0,
L0003,1,2,66,43.857,False,"[[685.56, 942.24], [669.24, 950.28], [669.477, 950.806], [669.787, 951.443], [670.164, 952.184], [670.603, 953.019], [671.098, 953.942], [671.643, 954.945], [672.232, 956.02], [672.859, 957.158], [673.519, 958.353], [674.205, 959.596], [674.912, 960.879], [675.634, 962.195], [676.364, 963.536], [677.098, 964.894], [677.829, 966.262], [678.552, 967.63], [679.26, 968.992], [679.948, 970.34], [680.61, 971.665], [681.24, 972.961]]",actual,10.0871,0.006947,0.088691,0.00120394,50.0,
732H,1,3,66,19.446,False,"[[653.28, 938.88], [669.12, 950.16]]",actual,4.4726,0.00308,0.039325,0.00053382,50.0,
732I,1,154,66,11.593,False,"[[685.8, 943.2], [696.24, 938.16]]",actual,2.6664,0.001836,0.023444,0.00031825,50.0,
L0004,1,192,66,10.201,False,"[[664.56, 959.881], [674.76, 959.761]]",actual,2.3462,0.001616,0.020629,0.00028003,50.0,
732A,2,151,66,54.871,False,"[[681.12, 973.321], [690.72, 971.161], [701.52, 969.841], [703.68, 960.601], [713.64, 956.401], [723.96, 947.16]]",actual,12.6203,0.008692,0.110964,0.00150629,50.0,
L0005,4,5,66,27.289,False,"[[727.8, 826.68], [718.68, 839.04], [718.68, 845.04], [723.48, 848.52]]",actual,6.2765,0.004323,0.055186,0.00074912,50.0,
L0006,4,5,66,11.66,False,"[[714.0, 830.88], [724.68, 826.2]]",actual,2.6818,0.001847,0.02358,0.00032008,50.0,
724A,4,162,66,21.282,False,"[[729.72, 827.28], [733.8, 830.88], [749.64, 830.76]]",actual,4.8949,0.003371,0.043038,0.00058422,50.0,
722B,4,163,66,35.5,False,"[[725.16, 827.4], [712.44, 837.36], [712.44, 838.081], [712.44, 838.803], [712.44, 839.528], [712.44, 840.253], [712.44, 840.981], [712.44, 841.709], [712.44, 842.439], [712.44, 843.17], [712.44, 843.902], [712.44, 844.635], [712.44, 845.369], [712.44, 846.104], [712.44, 846.839], [712.44, 847.575], [712.44, 848.312], [712.44, 849.049], [712.44, 849.786], [712.44, 850.524], [712.44, 851.262], [712.44, 852.0], [712.42, 852.227], [712.363, 852.441], [712.272, 852.643], [712.153, 852.835], [712.009, 853.018], [711.844, 853.193], [711.662, 853.362], [711.468, 853.526], [711.266, 853.687], [711.06, 853.845], [710.854, 854.002], [710.652, 854.16], [710.458, 854.32], [710.276, 854.482], [710.111, 854.649], [709.967, 854.822], [709.848, 855.003], [709.757, 855.191], [709.7, 855.39], [709.68, 855.6]]",actual,8.165,0.005623,0.071791,0.00097453,50.0,
725B,4,164,66,25.914,False,"[[726.84, 825.84], [719.64, 819.6], [719.623, 819.132], [719.607, 818.664], [719.593, 818.196], [719.58, 817.728], [719.569, 817.26], [719.558, 816.792], [719.548, 816.324], [719.538, 815.856], [719.529, 815.388], [719.52, 814.92], [719.511, 814.452], [719.502, 813.984], [719.492, 813.516], [719.482, 813.048], [719.471, 812.58], [719.459, 812.112], [719.447, 811.644], [719.433, 811.176], [719.417, 810.708], [719.4, 810.24], [712.8, 807.84]]",actual,5.9602,0.004105,0.052405,0.00071138,50.0,
L0007,4,166,66,31.864,False,"[[727.32, 825.36], [732.84, 815.04], [732.84, 794.88]]",actual,7.3287,0.005047,0.064438,0.00087471,50.0,
728A,4,167,66,49.608,False,"[[727.92, 826.2], [741.48, 816.0], [741.479, 813.932], [741.477, 812.002], [741.473, 810.194], [741.468, 808.493], [741.461, 806.884], [741.454, 805.351], [741.446, 803.88], [741.438, 802.454], [741.429, 801.06], [741.42, 799.68], [741.411, 798.3], [741.402, 796.906], [741.394, 795.48], [741.386, 794.009], [741.379, 792.476], [741.372, 790.867], [741.367, 789.166], [741.363, 787.358], [741.361, 785.428], [741.36, 783.36]]",actual,11.4098,0.007858,0.100321,0.00136181,50.0,
729A,5,163,66,19.011,False,"[[712.44, 851.04], [718.56, 853.32], [731.04, 853.32]]",actual,4.3725,0.003011,0.038445,0.00052188,50.0,
796G,6,7,66,60.503,False,"[[452.04, 661.68], [450.72, 653.16], [459.24, 644.4], [460.92, 639.72], [465.0, 631.2], [467.88, 627.24], [470.52, 621.24], [471.031, 620.779], [471.555, 620.331], [472.09, 619.894], [472.635, 619.468], [473.188, 619.05], [473.748, 618.639], [474.313, 618.234], [474.882, 617.834], [475.453, 617.436], [476.025, 617.04], [476.596, 616.644], [477.164, 616.246], [477.729, 615.846], [478.287, 615.441], [478.839, 615.03], [479.383, 614.612], [479.916, 614.186], [480.438, 613.749], [480.946, 613.301], [481.44, 612.84]]",actual,13.9157,0.009584,0.122353,0.0016609,50.0,
L0008,6,8,66,68.039,False,"[[454.32, 662.4], [452.88, 653.28], [462.24, 644.04], [464.16, 639.0], [481.56, 639.0], [494.88, 635.64], [504.0, 635.88]]",actual,15.649,0.010778,0.137593,0.00186777,50.0,
L0009,6,36,66,47.863,False,"[[455.04, 663.48], [462.12, 666.12], [462.72, 675.36], [455.64, 680.64], [453.96, 692.64], [446.88, 699.84]]",actual,11.0085,0.007582,0.096792,0.00131391,50.0,
L0010,6,36,66,20.502,False,"[[463.8, 663.12], [465.84, 683.52]]",actual,4.7155,0.003248,0.041461,0.00056281,50.0,
L0011,8,37,66,36.43,False,"[[520.2, 630.48], [524.04, 618.12], [547.08, 613.56]]",actual,8.3789,0.005771,0.073671,0.00100006,50.0,
L0012,8,91,66,14.287,False,"[[511.68, 630.36], [510.12, 638.16], [515.76, 641.04]]",actual,3.286,0.002263,0.028892,0.0003922,50.0,
L0013,8,92,66,14.318,False,"[[516.84, 608.16], [520.68, 610.56], [518.76, 620.16]]",actual,3.2931,0.002268,0.028955,0.00039305,50.0,
