bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu,region
0,489.3,143.681,8,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
1,530.96,187.341,4,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
2,464.52,180.151,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
3,470.88,119.911,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
4,519.84,198.631,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
5,546.88,80.791,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
6,554.4,93.871,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
7,516.48,127.399,3,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
8,523.971,143.825,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
9,495.48,124.591,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
10,517.455,98.461,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
11,505.68,117.511,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
12,556.48,65.631,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
13,580.08,180.111,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
14,550.92,197.791,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
15,562.68,175.111,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
16,536.8,156.391,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
17,504.72,179.791,0,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
18,571.44,85.471,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
19,570.12,104.671,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
20,491.88,169.471,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
21,509.28,161.191,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
22,477.6,130.711,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
23,538.86,92.731,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
24,567.12,57.751,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
25,467.82,142.291,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
26,452.32,157.271,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
27,464.64,153.511,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
28,455.76,145.231,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
29,528.0,163.951,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
30,460.68,124.711,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
31,580.92,223.951,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
32,573.36,216.871,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
33,568.8,232.471,1,junction,,,True,N,PQ,0.0,0.0,0.0,0.0,1.0,01
34,465.051,682.763,3,substation_or_sw,開閉所,(310702),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
35,709.12,218.031,3,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
36,724.68,292.711,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
37,691.227,235.565,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
38,486.78,673.085,8,substation_or_sw,開閉所,(310702),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
39,672.341,269.743,5,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
40,689.064,303.647,3,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
41,531.84,601.615,3,junction,,(310120),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
42,553.665,553.426,2,substation_or_sw,開閉所,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
43,513.06,647.551,2,substation_or_sw,開閉所,(310707),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
44,499.662,633.679,4,substation_or_sw,変電所,(310707),False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
45,508.16,668.431,6,substation_or_sw,開閉所,(310706),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
46,196.509,425.123,3,substation_or_sw,開閉所,(311011),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
47,231.0,455.611,2,substation_or_sw,開閉所,階上,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
48,101.82,567.151,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
49,250.68,525.391,2,substation_or_sw,開閉所,小中野,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
50,601.853,805.725,5,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
51,533.376,328.735,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
52,398.649,373.994,4,substation_or_sw,開閉所,(311014),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
53,406.56,344.671,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
54,582.72,519.991,2,junction,,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
55,615.456,501.943,3,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
56,563.16,541.111,2,junction,,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
57,579.08,534.591,3,junction,,(310903),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
58,389.486,337.643,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
59,467.64,465.991,3,substation_or_sw,開閉所,(311003),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
60,424.66,547.391,2,substation_or_sw,開閉所,18１A,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
61,471.9,615.301,2,substation_or_sw,開閉所,(310701),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
62,623.16,543.871,1,junction,,(310201),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
63,636.3,535.351,2,junction,,(310201),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
64,610.64,776.621,2,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
65,635.426,792.22,2,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
66,640.08,880.271,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
67,632.554,758.14,3,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
68,717.0,321.391,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
69,702.15,348.061,4,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
70,748.26,417.391,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
71,647.6,1037.112,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
72,658.68,1047.032,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
73,754.32,396.631,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
74,486.24,795.646,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
75,504.9,802.381,4,substation_or_sw,開閉所,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
76,749.616,164.815,5,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
77,770.4,152.071,1,junction,,,True,E/N,PQ,0.0,0.0,0.0,0.0,1.0,01
78,538.32,582.751,1,junction,,(310120),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
79,354.672,807.103,3,substation_or_sw,開閉所,(310401),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
80,335.46,731.791,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
81,369.96,699.721,4,substation_or_sw,開閉所,(310704),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
82,334.32,753.631,2,junction,,六ヶ所,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
83,485.82,833.311,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
84,504.0,816.871,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
85,457.44,851.431,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
86,514.08,840.391,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
87,548.16,909.391,1,junction,,仲崎,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
88,580.72,1051.792,1,substation_or_sw,開閉所,佐井,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
89,641.88,1025.432,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
90,666.86,731.071,2,substation_or_sw,開閉所,石江,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
91,469.22,484.331,2,generator,発電所,(311003),False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
92,456.24,474.151,1,substation_or_sw,変電所,(311003),False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
93,527.16,809.911,1,junction,,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
94,526.8,798.871,1,substation_or_sw,変電所,小湊,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
95,548.88,807.631,1,junction,,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
96,548.88,797.431,1,substation_or_sw,開閉所,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
97,573.3,354.811,4,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
98,546.06,338.791,2,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
99,567.84,332.959,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
100,430.64,804.311,1,substation_or_sw,開閉所,(310405),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
101,448.92,804.751,2,junction,,(310405),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
102,262.98,340.381,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
103,199.92,528.271,1,substation_or_sw,開閉所,小中野,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
104,190.32,515.911,1,substation_or_sw,開閉所,小中野,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
105,488.52,465.151,3,substation_or_sw,開閉所,(311003),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
106,497.04,451.711,2,substation_or_sw,開閉所,田子(配),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
107,506.46,440.821,4,substation_or_sw,開閉所,田子(配),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
108,743.88,717.151,1,junction,,五所川原,True,E,PQ,0.0,0.0,0.0,0.0,1.0,01
109,129.96,448.831,1,substation_or_sw,開閉所,(311013),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
110,249.52,382.471,2,substation_or_sw,開閉所,(311009),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
111,565.2,435.721,2,generator,発電所,十和田湖(配),False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
112,600.42,413.431,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
113,552.72,447.991,2,substation_or_sw,開閉所,十和田湖(配),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
114,647.476,321.915,5,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
115,619.72,328.551,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
116,626.76,297.271,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
117,727.32,328.471,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
118,797.04,356.551,1,junction,,,True,E,PQ,0.0,0.0,0.0,0.0,1.0,01
119,717.36,355.711,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
120,680.13,358.351,2,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
121,564.6,319.231,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
122,647.64,346.591,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
123,623.82,405.341,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
124,587.674,375.46,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
125,603.6,381.991,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
126,633.48,513.511,2,substation_or_sw,開閉所,(310201),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
127,165.48,364.471,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
128,128.76,300.871,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
129,585.12,766.171,0,substation_or_sw,変電所,※Ａ,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
130,589.56,779.311,0,substation_or_sw,変電所,※Ａ,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
131,566.4,787.351,1,substation_or_sw,変電所,小湊,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
132,564.72,807.271,1,junction,,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
133,585.36,795.991,0,substation_or_sw,変電所,※Ａ,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
134,568.56,731.551,2,substation_or_sw,開閉所,泉野,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
135,576.12,723.151,1,substation_or_sw,開閉所,泉野,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
136,267.48,775.531,0,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
137,375.96,711.211,4,substation_or_sw,開閉所,(310704),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
138,219.92,840.511,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
139,720.0,232.231,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
140,719.64,243.511,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
141,622.92,484.711,0,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
142,670.86,284.731,0,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
143,146.4,316.351,0,junction,,,True,W,PQ,0.0,0.0,0.0,0.0,1.0,01
144,516.72,457.934,3,generator,発電所,十和田湖(配),False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
145,534.4,468.811,2,generator,発電所,十和田湖(配),False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
146,240.42,465.331,0,substation_or_sw,開閉所,階上,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
147,664.2,311.551,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
148,255.96,321.031,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
149,496.824,704.959,1,generator,発電所,(310710),False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
150,486.48,612.391,2,junction,,(310115),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
151,499.8,618.751,2,substation_or_sw,変電所,(310115),False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
152,67.2,542.671,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
153,75.48,552.571,2,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
154,173.16,425.791,1,junction,,種市,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
155,587.76,351.151,1,junction,,,True,unknown,PQ,0.0,0.0,0.0,0.0,1.0,01
156,433.08,702.151,2,junction,,(310711),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
157,408.48,709.351,2,junction,,(310704),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
158,664.08,358.711,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
159,357.72,824.071,2,junction,,(310401),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
160,730.86,418.291,0,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
161,772.92,183.391,1,junction,,,True,E/N,PQ,0.0,0.0,0.0,0.0,1.0,01
162,583.56,333.391,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
163,374.16,370.831,1,junction,,(311014),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
164,497.64,420.271,1,junction,,田子(配),True,unknown,PQ,0.0,0.0,0.0,0.0,1.0,01
165,592.62,507.451,0,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
166,471.24,857.191,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
167,453.48,501.031,1,junction,,(311003),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
168,448.56,490.711,1,junction,,(311003),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
169,583.56,545.791,1,junction,,(310906),True,unknown,PQ,0.0,0.0,0.0,0.0,1.0,01
170,755.92,343.271,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
171,577.56,390.151,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
172,730.56,171.391,1,junction,,,True,E/N,PQ,0.0,0.0,0.0,0.0,1.0,01
173,736.08,161.671,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
174,477.27,713.641,0,generator,発電所,野辺地,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
175,483.84,454.231,1,substation_or_sw,開閉所,田子(配),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
176,713.4,379.831,0,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
177,551.04,736.951,1,substation_or_sw,開閉所,(310709),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
178,387.96,811.831,0,substation_or_sw,開閉所,(310401),False,,PQ,0.0,0.0,0.0,0.0,1.0,01
179,193.16,160.445,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
180,160.95,173.041,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
181,225.86,161.971,6,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
182,231.48,136.711,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
183,208.656,205.159,1,generator,発電所,,False,,PQ,0.0,0.0,5.0,2.4216,1.0,01
184,208.44,184.171,2,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
185,170.48,91.631,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
186,177.72,105.631,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
187,221.34,117.751,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
188,201.583,136.111,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
189,201.9,110.731,0,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0,01
190,191.4,118.951,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
191,207.6,162.991,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0,01
